"SITE","LINE","FL50","HT","TC","SITE2"
"CLMB",291,"*","*","*","CLMB"
"CLMB",292,"216","192","66","CLMB"
"CLMB",293,"200","143","79","CLMB"
"CLMB",294,"181","150","108","CLMB"
"CLMB",296,"193","170","113","CLMB"
"CLMB",297,"207","134","26","CLMB"
"CLMB",298,"193","116","84","CLMB"
"CLMB",299,"202","135","83","CLMB"
"CLMB",300,"*","*","*","CLMB"
"CLMB",301,"187","161","127","CLMB"
"CLMB",302,"174","160","174","CLMB"
"CLMB",303,"207","180","101","CLMB"
"CLMB",304,"193","151","223","CLMB"
"CLMB",305,"190","161","170","CLMB"
"CLMB",306,"*","*","*","CLMB"
"CLMB",307,"200","170","165","CLMB"
"CLMB",308,"200","144","133","CLMB"
"CLMB",310,"204","151","118","CLMB"
"CLMB",311,"193","137","74","CLMB"
"CLMB",312,"209","148","92","CLMB"
"CLMB",313,"193","181","141","CLMB"
"CLMB",314,"176","145","115","CLMB"
"CLMB",315,"193","161","174","CLMB"
"CLMB",316,"*","*","*","CLMB"
"CLMB",317,"197","145","177","CLMB"
"CLMB",318,"193","159","144","CLMB"
"CLMB",319,"179","140","84","CLMB"
"CLMB",320,"193","152","77","CLMB"
"CLMB",322,"204","147","106","CLMB"
"CLMB",323,"190","153","107","CLMB"
"CLMB",324,"190","145","184","CLMB"
"CLMB",325,"207","161","79","CLMB"
"CLMB",326,"200","155","95","CLMB"
"CLMB",327,"*","*","*","CLMB"
"CLMB",328,"200","190","110","CLMB"
"CLMB",330,"190","156","268","CLMB"
"CLMB",332,"193","144","42","CLMB"
"CLMB",333,"*","146","92","CLMB"
"CLMB",334,"200","166","189","CLMB"
"CLMB",335,"*","*","*","CLMB"
"CLMB",336,"209","160","106","CLMB"
"CLMB",337,"181","140","143","CLMB"
"CLMB",338,"211","168","*","CLMB"
"CLMB",339,"190","141","129","CLMB"
"CLMB",340,"*","*","*","CLMB"
"CLMB",341,"183","135","121","CLMB"
"CLMB",342,"183","147","97","CLMB"
"CLMB",343,"187","146","161","CLMB"
"CLMB",344,"*","*","*","CLMB"
"CLMB",345,"183","129","119","CLMB"
"CLMB",346,"*","*","*","CLMB"
"CLMB",347,"179","122","81","CLMB"
"CLMB",349,"*","*","*","CLMB"
"CLMB",350,"202","160","105","CLMB"
"CLMB",352,"209","142","90","CLMB"
"CLMB",353,"209","188","139","CLMB"
"CLMB",354,"204","150","94","CLMB"
"CLMB",355,"207","147","107","CLMB"
"CLMB",356,"190","154","174","CLMB"
"CLMB",358,"193","158","28","CLMB"
"CLMB",359,"209","170","103","CLMB"
"CLMB",360,"187","160","193","CLMB"
"CLMB",361,"187","131","91","CLMB"
"CLMB",362,"*","*","*","CLMB"
"CLMB",363,"*","*","*","CLMB"
"CLMB",364,"197","158","61","CLMB"
"CLMB",365,"190","161","146","CLMB"
"CLMB",366,"202","175","100","CLMB"
"CLMB",367,"200","142","136","CLMB"
"CLMB",368,"190","142","133","CLMB"
"CLMB",369,"*","*","*","CLMB"
"CLMB",370,"202","166","205","CLMB"
"CLMB",371,"207","152","160","CLMB"
"CLMB",372,"*","*","*","CLMB"
"CLMB",373,"197","150","149","CLMB"
"CLMB",374,"204","154","141","CLMB"
"CLMB",375,"221","140","37","CLMB"
"CLMB",376,"*","*","*","CLMB"
"CLMB",377,"202","166","101","CLMB"
"CLMB",378,"221","172","82","CLMB"
"CLMB",379,"209","161","117","CLMB"
"CLMB",380,"200","160","86","CLMB"
"CLMB",381,"197","137","228","CLMB"
"CLMB",382,"193","168","83","CLMB"
"CLMB",383,"200","171","78","CLMB"
"CLMB",384,"*","*","*","CLMB"
"CLMB",386,"200","146","43","CLMB"
"CLMB",388,"187","161","86","CLMB"
"CLMB",389,"202","156","174","CLMB"
"CLMB",390,"209","154","79","CLMB"
"CLMB",391,"*","*","*","CLMB"
"CLMB",392,"193","151","77","CLMB"
"CLMB",393,"207","166","86","CLMB"
"CLMB",394,"*","*","*","CLMB"
"CLMB",395,"193","164","120","CLMB"
"CLMB",396,"200","136","138","CLMB"
"CLMB",397,"204","157","196","CLMB"
"CLMB",398,"200","139","106","CLMB"
"CLMB",399,"179","155","137","CLMB"
"CLMB",400,"204","161","116","CLMB"
"CLMB",402,"207","174","202","CLMB"
"CLMB",403,"187","133","190","CLMB"
"CLMB",404,"181","138","110","CLMB"
"KBSM",1,"193","135","161","KBSM"
"KBSM",2,"207","150","184","KBSM"
"KBSM",3,"195","160","155","KBSM"
"KBSM",4,"214","170","152","KBSM"
"KBSM",5,"195","170","57","KBSM"
"KBSM",7,"197","140","148","KBSM"
"KBSM",8,"207","135","145","KBSM"
"KBSM",9,"195","150","190","KBSM"
"KBSM",10,"193","135","114","KBSM"
"KBSM",11,"209","150","123","KBSM"
"KBSM",12,"204","150","117","KBSM"
"KBSM",13,"*","*","*","KBSM"
"KBSM",14,"202","125","76","KBSM"
"KBSM",15,"221","195","246","KBSM"
"KBSM",16,"*","*","*","KBSM"
"KBSM",17,"209","205","121","KBSM"
"KBSM",18,"193","150","169","KBSM"
"KBSM",19,"202","165","73","KBSM"
"KBSM",20,"195","160","92","KBSM"
"KBSM",21,"*","*","*","KBSM"
"KBSM",22,"193","140","143","KBSM"
"KBSM",23,"214","175","65","KBSM"
"KBSM",24,"*","*","*","KBSM"
"KBSM",25,"207","150","118","KBSM"
"KBSM",26,"211","180","138","KBSM"
"KBSM",27,"*","*","*","KBSM"
"KBSM",28,"197","165","159","KBSM"
"KBSM",29,"202","145","114","KBSM"
"KBSM",30,"211","150","62","KBSM"
"KBSM",31,"193","150","179","KBSM"
"KBSM",32,"204","200","150","KBSM"
"KBSM",33,"190","150","67","KBSM"
"KBSM",34,"200","155","132","KBSM"
"KBSM",35,"209","150","119","KBSM"
"KBSM",36,"209","180","87","KBSM"
"KBSM",37,"214","165","205","KBSM"
"KBSM",38,"197","160","68","KBSM"
"KBSM",39,"197","145","83","KBSM"
"KBSM",40,"202","180","130","KBSM"
"KBSM",41,"209","150","140","KBSM"
"KBSM",42,"193","160","160","KBSM"
"KBSM",43,"209","170","158","KBSM"
"KBSM",44,"207","160","277","KBSM"
"KBSM",45,"*","*","*","KBSM"
"KBSM",46,"200","175","91","KBSM"
"KBSM",47,"*","*","*","KBSM"
"KBSM",48,"195","150","103","KBSM"
"KBSM",49,"*","*","*","KBSM"
"KBSM",50,"*","*","*","KBSM"
"KBSM",52,"190","140","85","KBSM"
"KBSM",53,"200","145","145","KBSM"
"KBSM",54,"214","165","150","KBSM"
"KBSM",55,"190","155","98","KBSM"
"KBSM",56,"197","160","88","KBSM"
"KBSM",57,"197","170","46","KBSM"
"KBSM",58,"*","*","*","KBSM"
"KBSM",59,"*","*","*","KBSM"
"KBSM",60,"*","*","*","KBSM"
"KBSM",61,"204","205","127","KBSM"
"KBSM",62,"204","170","93","KBSM"
"KBSM",63,"*","*","*","KBSM"
"KBSM",64,"200","155","80","KBSM"
"KBSM",65,"200","150","70","KBSM"
"KBSM",66,"214","205","96","KBSM"
"KBSM",67,"202","160","146","KBSM"
"KBSM",68,"200","165","99","KBSM"
"KBSM",69,"214","180","198","KBSM"
"KBSM",70,"216","165","111","KBSM"
"KBSM",71,"*","*","*","KBSM"
"KBSM",72,"195","140","139","KBSM"
"KBSM",73,"200","175","81","KBSM"
"KBSM",74,"209","205","161","KBSM"
"KBSM",75,"*","*","*","KBSM"
"KBSM",76,"*","*","*","KBSM"
"KBSM",77,"*","*","*","KBSM"
"KBSM",78,"193","170","98","KBSM"
"KBSM",79,"207","180","127","KBSM"
"KBSM",80,"200","140","140","KBSM"
"KBSM",81,"200","150","129","KBSM"
"KBSM",83,"209","160","110","KBSM"
"KBSM",84,"*","*","*","KBSM"
"KBSM",85,"195","150","96","KBSM"
"KBSM",86,"209","160","93","KBSM"
"KBSM",87,"197","145","114","KBSM"
"KBSM",88,"209","170","132","KBSM"
"KBSM",89,"197","160","136","KBSM"
"KBSM",90,"214","160","183","KBSM"
"KBSM",91,"218","180","113","KBSM"
"KBSM",93,"207","165","156","KBSM"
"KBSM",94,"193","150","165","KBSM"
"KBSM",95,"209","180","204","KBSM"
"KBSM",96,"193","130","43","KBSM"
"KBSM",97,"202","180","74","KBSM"
"KBSM",98,"*","*","*","KBSM"
"KBSM",99,"207","145","65","KBSM"
"KBSM",100,"209","170","102","KBSM"
"KBSM",101,"202","155","55","KBSM"
"KBSM",102,"*","*","*","KBSM"
"KBSM",103,"207","150","190","KBSM"
"KBSM",104,"197","170","171","KBSM"
"KBSM",105,"209","190","127","KBSM"
"KBSM",106,"200","160","150","KBSM"
"KBSM",107,"204","165","165","KBSM"
"KBSM",108,"*","*","*","KBSM"
"KBSM",110,"193","180","96","KBSM"
"KBSM",111,"193","140","126","KBSM"
"KBSM",112,"202","160","131","KBSM"
"KBSM",113,"*","*","*","KBSM"
"KBSM",114,"207","170","67","KBSM"
"KBSM",115,"218","170","74","KBSM"
"KBSM",116,"200","165","162","KBSM"
"KBSM",117,"207","165","67","KBSM"
"KBSM",118,"200","170","87","KBSM"
"KBSM",119,"218","150","192","KBSM"
"KBSM",120,"*","*","*","KBSM"
"KBSM",122,"211","145","39","KBSM"
"KBSM",123,"223","160","112","KBSM"
"KBSM",125,"200","165","193","KBSM"
"KBSM",126,"193","120","35","KBSM"
"KBSM",127,"187","160","79","KBSM"
"KBSM",128,"193","135","36","KBSM"
"KBSM",130,"200","175","204","KBSM"
"KBSM",131,"193","160","194","KBSM"
"KBSM",132,"200","190","64","KBSM"
"KBSM",134,"209","160","96","KBSM"
"KBSM",135,"200","170","201","KBSM"
"KBSM",136,"214","165","89","KBSM"
"KBSM",137,"202","170","37","KBSM"
"KBSM",138,"*","*","*","KBSM"
"KBSM",139,"193","130","104","KBSM"
"KBSM",141,"*","*","*","KBSM"
"KBSM",142,"204","160","173","KBSM"
"KBSM",143,"216","185","104","KBSM"
"KBSM",144,"193","175","83","KBSM"
"KBSM",145,"207","175","66","KBSM"
"KBSM",146,"*","*","*","KBSM"
"KBSM",147,"202","165","155","KBSM"
"KBSM",148,"202","150","77","KBSM"
"KBSM",150,"195","140","83","KBSM"
"KBSM",151,"202","155","87","KBSM"
"KBSM",152,"200","145","122","KBSM"
"KBSM",153,"209","175","119","KBSM"
"KBSM",154,"209","165","207","KBSM"
"KBSM",155,"200","185","74","KBSM"
"KBSM",156,"204","165","129","KBSM"
"KBSM",157,"200","135","105","KBSM"
"KBSM",158,"193","125","204","KBSM"
"KBSM",159,"202","165","156","KBSM"
"KBSM",160,"*","*","*","KBSM"
"KBSM",161,"200","150","186","KBSM"
"KBSM",163,"197","140","124","KBSM"
"KBSM",164,"207","165","210","KBSM"
"KBSM",165,"*","*","*","KBSM"
"KBSM",166,"214","205","158","KBSM"
"KBSM",167,"200","160","86","KBSM"
"KBSM",168,"207","170","127","KBSM"
"KBSM",169,"*","*","*","KBSM"
"KBSM",170,"197","145","73","KBSM"
"KBSM",171,"200","145","127","KBSM"
"KBSM",172,"202","180","94","KBSM"
"KBSM",173,"193","150","63","KBSM"
"KBSM",174,"200","160","128","KBSM"
"KBSM",175,"207","200","159","KBSM"
"KBSM",176,"200","175","105","KBSM"
"KBSM",177,"209","185","128","KBSM"
"KBSM",178,"197","170","108","KBSM"
"KBSM",179,"*","*","*","KBSM"
"KBSM",180,"*","*","*","KBSM"
"KBSM",181,"*","*","*","KBSM"
"KBSM",182,"207","200","109","KBSM"
"KBSM",184,"197","160","169","KBSM"
"KBSM",185,"193","140","71","KBSM"
"KBSM",186,"*","*","*","KBSM"
"KBSM",187,"211","175","248","KBSM"
"KBSM",188,"209","160","123","KBSM"
"KBSM",189,"202","200","114","KBSM"
"KBSM",190,"193","155","161","KBSM"
"KBSM",191,"197","175","85","KBSM"
"KBSM",192,"*","*","*","KBSM"
"KBSM",193,"214","205","146","KBSM"
"KBSM",194,"221","165","180","KBSM"
"KBSM",195,"202","160","66","KBSM"
"KBSM",196,"214","205","184","KBSM"
"KBSM",197,"202","185","257","KBSM"
"KBSM",198,"200","170","181","KBSM"
"KBSM",199,"202","170","111","KBSM"
"KBSM",200,"200","185","100","KBSM"
"KBSM",201,"200","135","117","KBSM"
"KBSM",202,"*","*","*","KBSM"
"KBSM",203,"200","145","188","KBSM"
"KBSM",204,"216","150","126","KBSM"
"KBSM",205,"200","130","26","KBSM"
"KBSM",206,"*","*","*","KBSM"
"KBSM",207,"193","160","99","KBSM"
"KBSM",208,"211","125","43","KBSM"
"KBSM",209,"*","*","*","KBSM"
"KBSM",210,"214","180","106","KBSM"
"KBSM",211,"*","*","*","KBSM"
"KBSM",212,"*","*","*","KBSM"
"KBSM",213,"214","190","120","KBSM"
"KBSM",214,"214","165","79","KBSM"
"KBSM",215,"214","175","152","KBSM"
"KBSM",216,"211","190","157","KBSM"
"KBSM",217,"193","140","85","KBSM"
"KBSM",218,"209","155","106","KBSM"
"KBSM",219,"*","*","*","KBSM"
"KBSM",220,"*","*","*","KBSM"
"KBSM",221,"214","175","124","KBSM"
"KBSM",222,"207","190","119","KBSM"
"KBSM",223,"209","175","340","KBSM"
"KBSM",224,"209","200","151","KBSM"
"KBSM",225,"*","*","*","KBSM"
"KBSM",226,"214","155","105","KBSM"
"KBSM",227,"202","130","155","KBSM"
"KBSM",228,"202","160","225","KBSM"
"KBSM",229,"200","170","42","KBSM"
"KBSM",230,"190","160","105","KBSM"
"KBSM",231,"*","*","*","KBSM"
"KBSM",232,"195","165","120","KBSM"
"KBSM",233,"*","*","*","KBSM"
"KBSM",234,"209","205","170","KBSM"
"KBSM",235,"200","145","127","KBSM"
"KBSM",236,"202","160","154","KBSM"
"KBSM",237,"202","180","147","KBSM"
"KBSM",238,"*","*","*","KBSM"
"KBSM",239,"214","200","110","KBSM"
"KBSM",240,"*","*","*","KBSM"
"KBSM",241,"*","*","*","KBSM"
"KBSM",242,"195","145","143","KBSM"
"KBSM",243,"195","145","164","KBSM"
"KBSM",244,"200","195","100","KBSM"
"KBSM",245,"207","180","164","KBSM"
"KBSM",246,"197","160","90","KBSM"
"KBSM",247,"214","170","164","KBSM"
"KBSM",248,"214","185","147","KBSM"
"KBSM",249,"202","175","177","KBSM"
"KBSM",250,"207","170","84","KBSM"
"KBSM",251,"209","160","191","KBSM"
"KBSM",252,"204","165","91","KBSM"
"KBSM",253,"*","*","*","KBSM"
"KBSM",254,"200","150","136","KBSM"
"KBSM",255,"195","150","123","KBSM"
"KBSM",256,"221","200","207","KBSM"
"KBSM",257,"228","160","80","KBSM"
"KBSM",258,"193","145","118","KBSM"
"KBSM",259,"200","145","205","KBSM"
"KBSM",260,"200","150","93","KBSM"
"KBSM",261,"*","*","*","KBSM"
"KBSM",262,"*","*","*","KBSM"
"KBSM",263,"214","170","104","KBSM"
"KBSM",264,"207","190","98","KBSM"
"KBSM",265,"195","160","209","KBSM"
"KBSM",266,"*","*","*","KBSM"
"KBSM",267,"200","160","66","KBSM"
"KBSM",268,"195","130","50","KBSM"
"KBSM",269,"*","*","*","KBSM"
"KBSM",270,"197","175","122","KBSM"
"KBSM",271,"*","*","*","KBSM"
"KBSM",272,"200","160","133","KBSM"
"KBSM",273,"207","170","149","KBSM"
"KBSM",274,"211","155","93","KBSM"
"KBSM",275,"200","145","121","KBSM"
"KBSM",276,"202","170","49","KBSM"
"KBSM",277,"211","150","344","KBSM"
"KBSM",278,"*","*","*","KBSM"
"KBSM",279,"200","150","67","KBSM"
"KBSM",280,"*","*","*","KBSM"
"KBSM",281,"197","130","121","KBSM"
"KBSM",282,"*","*","*","KBSM"
"KBSM",283,"207","140","103","KBSM"
"KBSM",284,"195","150","121","KBSM"
"KBSM",285,"209","180","136","KBSM"
"KBSM",286,"197","150","90","KBSM"
"KBSM",287,"214","150","211","KBSM"
"KBSM",288,"*","*","*","KBSM"
"KBSM",289,"209","175","119","KBSM"
"KBSM",290,"*","*","*","KBSM"
"KBSM",291,"*","*","*","KBSM"
"KBSM",292,"195","150","156","KBSM"
"KBSM",293,"197","145","156","KBSM"
"KBSM",294,"193","145","147","KBSM"
"KBSM",296,"207","175","163","KBSM"
"KBSM",297,"207","145","92","KBSM"
"KBSM",298,"195","130","88","KBSM"
"KBSM",299,"209","180","144","KBSM"
"KBSM",300,"207","170","73","KBSM"
"KBSM",301,"195","150","159","KBSM"
"KBSM",302,"190","140","202","KBSM"
"KBSM",303,"207","200","183","KBSM"
"KBSM",304,"207","175","281","KBSM"
"KBSM",305,"197","170","180","KBSM"
"KBSM",306,"200","165","86","KBSM"
"KBSM",307,"204","165","250","KBSM"
"KBSM",308,"207","165","190","KBSM"
"KBSM",310,"209","150","114","KBSM"
"KBSM",311,"*","*","*","KBSM"
"KBSM",312,"211","180","99","KBSM"
"KBSM",313,"200","170","224","KBSM"
"KBSM",314,"190","140","163","KBSM"
"KBSM",315,"202","165","164","KBSM"
"KBSM",316,"*","*","*","KBSM"
"KBSM",317,"197.5","160","172","KBSM"
"KBSM",318,"207","160","175","KBSM"
"KBSM",319,"*","*","*","KBSM"
"KBSM",320,"202","180","115","KBSM"
"KBSM",322,"204","155","146","KBSM"
"KBSM",323,"200","160","132","KBSM"
"KBSM",324,"195","160","198","KBSM"
"KBSM",325,"207","180","266","KBSM"
"KBSM",326,"209","160","127","KBSM"
"KBSM",327,"*","*","*","KBSM"
"KBSM",328,"207","200","80","KBSM"
"KBSM",330,"200","170","192","KBSM"
"KBSM",332,"200","140","70","KBSM"
"KBSM",333,"218","180","101","KBSM"
"KBSM",334,"207","175","202","KBSM"
"KBSM",335,"207","170","78","KBSM"
"KBSM",336,"216","170","146","KBSM"
"KBSM",337,"193","140","160","KBSM"
"KBSM",338,"207","190","72","KBSM"
"KBSM",339,"204","160","140","KBSM"
"KBSM",340,"*","*","*","KBSM"
"KBSM",341,"195","145","111","KBSM"
"KBSM",342,"190","160","114","KBSM"
"KBSM",343,"195","140","159","KBSM"
"KBSM",344,"*","*","*","KBSM"
"KBSM",345,"195","135","65","KBSM"
"KBSM",346,"195","150","133","KBSM"
"KBSM",347,"200","130","72","KBSM"
"KBSM",349,"202","160","99","KBSM"
"KBSM",350,"209","185","113","KBSM"
"KBSM",352,"202","160","139","KBSM"
"KBSM",353,"202","180","155","KBSM"
"KBSM",354,"207","155","86","KBSM"
"KBSM",355,"*","*","*","KBSM"
"KBSM",356,"195","170","159","KBSM"
"KBSM",358,"195","160","223","KBSM"
"KBSM",359,"209","180","100","KBSM"
"KBSM",360,"197","165","205","KBSM"
"KBSM",361,"204","165","222","KBSM"
"KBSM",362,"*","*","*","KBSM"
"KBSM",363,"207","165","106","KBSM"
"KBSM",364,"202","170","116","KBSM"
"KBSM",365,"195","165","181","KBSM"
"KBSM",366,"207","175","101","KBSM"
"KBSM",367,"202","160","187","KBSM"
"KBSM",368,"*","*","*","KBSM"
"KBSM",369,"200","200","152","KBSM"
"KBSM",370,"209","180","151","KBSM"
"KBSM",371,"209","165","80","KBSM"
"KBSM",372,"209","145","143","KBSM"
"KBSM",373,"202","155","170","KBSM"
"KBSM",374,"202","155","124","KBSM"
"KBSM",375,"209","165","49","KBSM"
"KBSM",376,"*","*","*","KBSM"
"KBSM",377,"*","*","*","KBSM"
"KBSM",378,"209","210","96","KBSM"
"KBSM",379,"214","210","143","KBSM"
"KBSM",380,"207","155","145","KBSM"
"KBSM",381,"204","155","197","KBSM"
"KBSM",382,"200","170","163","KBSM"
"KBSM",383,"211","160","44","KBSM"
"KBSM",384,"190","130","171","KBSM"
"KBSM",386,"200","180","104","KBSM"
"KBSM",388,"195","170","118","KBSM"
"KBSM",389,"207","180","185","KBSM"
"KBSM",390,"211","190","68","KBSM"
"KBSM",391,"190","150","100","KBSM"
"KBSM",392,"212.5","140","80.5","KBSM"
"KBSM",393,"207","170","82","KBSM"
"KBSM",394,"190","120","104","KBSM"
"KBSM",395,"204","160","136","KBSM"
"KBSM",396,"202","160","176","KBSM"
"KBSM",397,"207","150","194","KBSM"
"KBSM",398,"202","160","82","KBSM"
"KBSM",399,"195","145","97","KBSM"
"KBSM",400,"207","180","123","KBSM"
"KBSM",402,"207","160","182","KBSM"
"KBSM",403,"197","145","167","KBSM"
"KBSM",404,"200","140","120","KBSM"
"KING",1,"111","80","34","KING"
"KING",2,"*","*","*","KING"
"KING",3,"117","125","245","KING"
"KING",4,"111","95","66","KING"
"KING",5,"117","125","41","KING"
"KING",7,"*","*","*","KING"
"KING",8,"117","110","154","KING"
"KING",9,"113","115","114","KING"
"KING",10,"111","90","15","KING"
"KING",11,"158","100","34","KING"
"KING",12,"113","90","76","KING"
"KING",13,"111","110","23","KING"
"KING",14,"*","*","*","KING"
"KING",15,"123","130","78","KING"
"KING",16,"113","115","66","KING"
"KING",17,"113","135","166","KING"
"KING",18,"111","105","125","KING"
"KING",19,"113","105","61","KING"
"KING",20,"111","*","121","KING"
"KING",21,"*","*","*","KING"
"KING",22,"111","100","62","KING"
"KING",23,"113","150","96","KING"
"KING",24,"*","*","*","KING"
"KING",25,"127","100","29","KING"
"KING",26,"125","140","195","KING"
"KING",27,"113","90","23","KING"
"KING",28,"113","120","149","KING"
"KING",29,"111","90","60","KING"
"KING",30,"113","90","81","KING"
"KING",31,"111","105","119","KING"
"KING",32,"111","145","203","KING"
"KING",33,"113","120","119","KING"
"KING",34,"120","115","59","KING"
"KING",35,"113","110","93","KING"
"KING",36,"111","140","87","KING"
"KING",37,"111","115","172","KING"
"KING",38,"111","120","78","KING"
"KING",39,"112","90","36","KING"
"KING",40,"158","145","84","KING"
"KING",41,"111","110","139","KING"
"KING",42,"111","115","121","KING"
"KING",43,"113","125","63","KING"
"KING",44,"113","110","123","KING"
"KING",45,"111","100","61","KING"
"KING",46,"111","120","146","KING"
"KING",47,"*","*","*","KING"
"KING",48,"117","125","103","KING"
"KING",49,"111","120","*","KING"
"KING",50,"111","95","88","KING"
"KING",52,"*","*","*","KING"
"KING",53,"113","100","67","KING"
"KING",54,"120","120","189","KING"
"KING",55,"112","132.5","60.5","KING"
"KING",56,"117","115","79","KING"
"KING",57,"111","90","26","KING"
"KING",58,"111","130","155","KING"
"KING",59,"*","*","*","KING"
"KING",60,"*","*","*","KING"
"KING",61,"111","120","48","KING"
"KING",62,"123","135","106","KING"
"KING",63,"113","120","124","KING"
"KING",64,"111","110","178","KING"
"KING",65,"130","120","37","KING"
"KING",66,"111","140","22","KING"
"KING",67,"118","100","84","KING"
"KING",68,"113","135","68","KING"
"KING",69,"117","100","88","KING"
"KING",70,"117","120","58","KING"
"KING",71,"112","115","112","KING"
"KING",72,"123","100","82","KING"
"KING",73,"111","130","147","KING"
"KING",74,"125","140","161","KING"
"KING",75,"111","137.5","46","KING"
"KING",76,"118","100","24","KING"
"KING",77,"113","115","69","KING"
"KING",78,"*","*","*","KING"
"KING",79,"120","105","43","KING"
"KING",80,"111","110","142","KING"
"KING",81,"111","120","123","KING"
"KING",83,"125","135","146","KING"
"KING",84,"113","85","13","KING"
"KING",85,"111","115","93","KING"
"KING",86,"111","115","88","KING"
"KING",87,"111","85","42","KING"
"KING",88,"120","125","125","KING"
"KING",89,"120","100","31","KING"
"KING",90,"123.5","102.5","68","KING"
"KING",91,"148","160","129","KING"
"KING",93,"113","127.5","125.5","KING"
"KING",94,"111","120","149","KING"
"KING",95,"*","*","*","KING"
"KING",96,"111","105","140","KING"
"KING",97,"123","125","52","KING"
"KING",98,"111","135","139","KING"
"KING",99,"113","60","23","KING"
"KING",100,"111","85","103","KING"
"KING",101,"117","115","10","KING"
"KING",102,"111","90","66","KING"
"KING",103,"113","115","69.5","KING"
"KING",104,"113","115","135","KING"
"KING",105,"134","125","111","KING"
"KING",106,"115.5","117.5","190.5","KING"
"KING",107,"111","105","41","KING"
"KING",108,"111","105","78","KING"
"KING",110,"111","135","108","KING"
"KING",111,"111","100","67","KING"
"KING",112,"113","105","9","KING"
"KING",113,"120","127.5","140.5","KING"
"KING",114,"127","110","34","KING"
"KING",115,"113","140","102","KING"
"KING",116,"112","112.5","98","KING"
"KING",117,"111","110","129","KING"
"KING",118,"111","95","40","KING"
"KING",119,"123","110","141","KING"
"KING",120,"117","125","71","KING"
"KING",122,"113","115","53","KING"
"KING",123,"113","105","199","KING"
"KING",125,"111","100","106","KING"
"KING",126,"113","90","43","KING"
"KING",127,"111","115","71","KING"
"KING",128,"113","110","44","KING"
"KING",130,"111","140","170","KING"
"KING",131,"113","130","167","KING"
"KING",132,"117","125","97","KING"
"KING",134,"125","135","45","KING"
"KING",135,"113","135","135","KING"
"KING",136,"125","135","74","KING"
"KING",137,"*","*","*","KING"
"KING",138,"111","120","41","KING"
"KING",139,"117","100","66","KING"
"KING",141,"125","120","119","KING"
"KING",142,"111","80","99","KING"
"KING",143,"111","150","167","KING"
"KING",144,"117","115","17","KING"
"KING",145,"120","90","*","KING"
"KING",146,"117","110","11","KING"
"KING",147,"111","115","103","KING"
"KING",148,"*","*","*","KING"
"KING",150,"111","120","188","KING"
"KING",151,"120","*","4","KING"
"KING",152,"111","100","45","KING"
"KING",153,"134","140","66","KING"
"KING",154,"127","120","110","KING"
"KING",155,"113","125","92","KING"
"KING",156,"111","85","30","KING"
"KING",157,"111","120","118","KING"
"KING",158,"111","95","179","KING"
"KING",159,"117","115","51","KING"
"KING",160,"111","120","140","KING"
"KING",161,"125","130","197","KING"
"KING",163,"*","*","*","KING"
"KING",164,"*","*","*","KING"
"KING",165,"111","115","73","KING"
"KING",166,"127","165","135","KING"
"KING",167,"111","125","134","KING"
"KING",168,"*","*","*","KING"
"KING",169,"111","130","65","KING"
"KING",170,"127","120","74","KING"
"KING",171,"111","105","84","KING"
"KING",172,"130","115","14","KING"
"KING",173,"111","110","40","KING"
"KING",174,"111","120","79","KING"
"KING",175,"111","125","131","KING"
"KING",176,"120","130","82","KING"
"KING",177,"112","130","98","KING"
"KING",178,"120","130","115","KING"
"KING",179,"117","130","132","KING"
"KING",180,"117","120","211","KING"
"KING",181,"*","*","*","KING"
"KING",182,"114","105","55","KING"
"KING",184,"123","90","23","KING"
"KING",185,"111","120","160","KING"
"KING",186,"125","110","73","KING"
"KING",187,"111","105","132","KING"
"KING",188,"113","145","117","KING"
"KING",189,"111","105","43","KING"
"KING",190,"111","90","33","KING"
"KING",191,"111","135","396","KING"
"KING",192,"111","115","212","KING"
"KING",193,"113","135","134","KING"
"KING",194,"120","110","148","KING"
"KING",195,"111","90","45","KING"
"KING",196,"134","150","95","KING"
"KING",197,"111","120","184","KING"
"KING",198,"117","130","106","KING"
"KING",199,"127","120","87","KING"
"KING",200,"113","110","94","KING"
"KING",201,"111","110","93","KING"
"KING",202,"111","100","50","KING"
"KING",203,"113","105","209","KING"
"KING",204,"*","*","*","KING"
"KING",205,"118.5","110","46.5","KING"
"KING",206,"*","*","*","KING"
"KING",207,"130","105","19","KING"
"KING",208,"*","*","*","KING"
"KING",209,"113","115","143","KING"
"KING",210,"117","90","45","KING"
"KING",211,"*","*","*","KING"
"KING",212,"111","105","74","KING"
"KING",213,"123","95","63","KING"
"KING",214,"113","120","93","KING"
"KING",215,"127","130","313","KING"
"KING",216,"111","100","51","KING"
"KING",217,"111","125","141","KING"
"KING",218,"113","115","119","KING"
"KING",219,"123","115","48","KING"
"KING",220,"111","125","203","KING"
"KING",221,"112","80","57","KING"
"KING",222,"113","110","96","KING"
"KING",223,"113","115","194","KING"
"KING",224,"120","145","205","KING"
"KING",225,"144","120","47","KING"
"KING",226,"111","110","106","KING"
"KING",227,"127","115","52","KING"
"KING",228,"111","97.5","80.5","KING"
"KING",229,"113","135","75","KING"
"KING",230,"111","125","156","KING"
"KING",231,"113","90","67","KING"
"KING",232,"111","120","147","KING"
"KING",233,"*","*","*","KING"
"KING",234,"113","130","280","KING"
"KING",235,"*","*","*","KING"
