"SITE","LINE","FL50","TC","BIO","SITE2"
"CLMB",229,"197","81","0.468267035","CLMB"
"CLMB",230,"*","*","*","CLMB"
"CLMB",231,"179","102","0.40599284","CLMB"
"CLMB",232,"197","114","0.447014916","CLMB"
"CLMB",233,"193","69","0.153523446","CLMB"
"CLMB",234,"200","116","0.320182588","CLMB"
"CLMB",235,"188.5","145.5","0.394975063","CLMB"
"CLMB",236,"204","94","0.295362233","CLMB"
"CLMB",237,"200","126","0.408623828","CLMB"
"CLMB",238,"193","152","0.669128624","CLMB"
"CLMB",239,"207","103","0.50121916","CLMB"
"CLMB",240,"190","137","0.647770148","CLMB"
"CLMB",241,"207","102","0.269995238","CLMB"
"CLMB",242,"179","52","0.083998519","CLMB"
"CLMB",243,"190","200","0.595281047","CLMB"
"CLMB",244,"193","115","0.495976826","CLMB"
"CLMB",245,"197","146","0.525015815","CLMB"
"CLMB",246,"193","113","0.32609587","CLMB"
"CLMB",247,"207","136","0.570054811","CLMB"
"CLMB",248,"225","114","0.622366023","CLMB"
"CLMB",249,"193","16","0.615307409","CLMB"
"CLMB",250,"209","225","0.917905265","CLMB"
"CLMB",251,"209","144","0.12","CLMB"
"CLMB",252,"202","85","0.309954533","CLMB"
"CLMB",253,"181","148","0.566201144","CLMB"
"CLMB",254,"183","124","0.322788726","CLMB"
"CLMB",255,"187","103","0.228130094","CLMB"
"CLMB",256,"207","111","0.518687646","CLMB"
"CLMB",257,"*","112","0.41730464","CLMB"
"CLMB",258,"179","143","0.398512971","CLMB"
"CLMB",259,"*","*","*","CLMB"
"CLMB",260,"183","70","0.334259151","CLMB"
"CLMB",261,"197","123","0.4422522","CLMB"
"CLMB",262,"193","97","0.413809751","CLMB"
"CLMB",263,"202","140","0.632810143","CLMB"
"CLMB",264,"207","88","0.400443846","CLMB"
"CLMB",265,"190","169","0.41198554","CLMB"
"CLMB",266,"*","*","*","CLMB"
"CLMB",267,"197","73","0.498640521","CLMB"
"CLMB",268,"*","*","*","CLMB"
"CLMB",269,"183","73","0.094498333","CLMB"
"CLMB",270,"193","112","0.882103031","CLMB"
"CLMB",271,"207","200","0.903273724","CLMB"
"CLMB",272,"190","158","0.542437772","CLMB"
"CLMB",273,"*","*","*","CLMB"
"CLMB",274,"193","124","0.430072415","CLMB"
"CLMB",275,"193","200","0.546022068","CLMB"
"CLMB",276,"*","*","*","CLMB"
"CLMB",277,"200","242","0.761656567","CLMB"
"CLMB",278,"207","140","0.39916096","CLMB"
"CLMB",279,"202","74","0.28122704","CLMB"
"CLMB",280,"*","*","*","CLMB"
"CLMB",281,"*","*","*","CLMB"
"CLMB",282,"181","132.5","0.2709966865","CLMB"
"CLMB",283,"*","*","*","CLMB"
"CLMB",284,"179","95","0.340420796","CLMB"
"CLMB",285,"202","167","1.10267011","CLMB"
"CLMB",286,"181","65","0.172586224","CLMB"
"CLMB",287,"207","62","0.103948167","CLMB"
"CLMB",288,"211","57","0.172492732","CLMB"
"CLMB",289,"202","58","0.173432235","CLMB"
"CLMB",290,"197","76","0.216328492","CLMB"
"CLMB",291,"*","*","*","CLMB"
"CLMB",292,"216","66","0.265898759","CLMB"
"CLMB",293,"200","79","0.143492085","CLMB"
"CLMB",294,"181","108","0.532664119","CLMB"
"CLMB",296,"193","113","0.420603491","CLMB"
"CLMB",297,"207","26","0.04746893","CLMB"
"CLMB",298,"193","84","0.179447361","CLMB"
"CLMB",299,"202","83","0.263469396","CLMB"
"CLMB",300,"*","*","*","CLMB"
"CLMB",301,"187","127","0.554868145","CLMB"
"CLMB",302,"174","174","0.558601655","CLMB"
"CLMB",303,"207","101","0.40369688","CLMB"
"CLMB",304,"193","223","0.553630784","CLMB"
"CLMB",305,"190","170","0.481877793","CLMB"
"CLMB",306,"*","*","*","CLMB"
"CLMB",307,"200","165","0.624324029","CLMB"
"CLMB",308,"200","133","0.378772701","CLMB"
"CLMB",310,"204","118","0.353459426","CLMB"
"CLMB",311,"193","74","0.15592225","CLMB"
"CLMB",312,"209","92","0.222083356","CLMB"
"CLMB",313,"193","141","0.453794496","CLMB"
"CLMB",314,"176","115","0.40140885","CLMB"
"CLMB",315,"193","174","0.580689087","CLMB"
"CLMB",316,"*","*","*","CLMB"
"CLMB",317,"197","177","0.325811815","CLMB"
"CLMB",318,"193","144","0.454481396","CLMB"
"CLMB",319,"179","84","0.273469959","CLMB"
"CLMB",320,"193","77","0.225888816","CLMB"
"CLMB",322,"204","106","0.429959476","CLMB"
"CLMB",323,"190","107","0.222021347","CLMB"
"CLMB",324,"190","184","0.544726539","CLMB"
"CLMB",325,"207","79","0.676054318","CLMB"
"CLMB",326,"200","95","0.342623957","CLMB"
"CLMB",327,"*","*","*","CLMB"
"CLMB",328,"200","110","0.45245802","CLMB"
"CLMB",330,"190","268","0.606766529","CLMB"
"CLMB",332,"193","42","0.104846675","CLMB"
"CLMB",333,"*","92","0.313526778","CLMB"
"CLMB",334,"200","189","0.998259559","CLMB"
"CLMB",335,"*","*","*","CLMB"
"CLMB",336,"209","106","*","CLMB"
"CLMB",337,"181","143","0.334617049","CLMB"
"CLMB",338,"211","*","0.16277637","CLMB"
"CLMB",339,"190","129","0.410784255","CLMB"
"CLMB",340,"*","*","*","CLMB"
"CLMB",341,"183","121","0.233304059","CLMB"
"CLMB",342,"183","97","0.32205032","CLMB"
"CLMB",343,"187","161","0.474883053","CLMB"
"CLMB",344,"*","*","*","CLMB"
"CLMB",345,"183","119","0.307119583","CLMB"
"CLMB",346,"*","*","*","CLMB"
"CLMB",347,"179","81","0.190571639","CLMB"
"CLMB",349,"*","*","*","CLMB"
"CLMB",350,"202","105","0.410578966","CLMB"
"CLMB",352,"209","90","0.268031636","CLMB"
"CLMB",353,"209","139","0.546663943","CLMB"
"CLMB",354,"204","94","0.227370167","CLMB"
"CLMB",355,"207","107","0.274614434","CLMB"
"CLMB",356,"190","174","0.377422777","CLMB"
"CLMB",358,"193","28","0.564470044","CLMB"
"CLMB",359,"209","103","0.41462961","CLMB"
"CLMB",360,"187","193","0.58340571","CLMB"
"CLMB",361,"187","91","0.129597714","CLMB"
"CLMB",362,"*","*","*","CLMB"
"CLMB",363,"*","*","*","CLMB"
"CLMB",364,"197","61","0.205048438","CLMB"
"CLMB",365,"190","146","0.450962481","CLMB"
"CLMB",366,"202","100","0.385981117","CLMB"
"CLMB",367,"200","136","0.476128058","CLMB"
"CLMB",368,"190","133","0.301405525","CLMB"
"CLMB",369,"*","*","*","CLMB"
"CLMB",370,"202","205","0.746300588","CLMB"
"CLMB",371,"207","160","0.5953395","CLMB"
"CLMB",372,"*","*","*","CLMB"
"CLMB",373,"197","149","0.511882551","CLMB"
"CLMB",374,"204","141","0.334590805","CLMB"
"CLMB",375,"221","37","0.066441645","CLMB"
"CLMB",376,"*","*","*","CLMB"
"CLMB",377,"202","101","0.366502336","CLMB"
"CLMB",378,"221","82","0.247413818","CLMB"
"CLMB",379,"209","117","0.539811967","CLMB"
"CLMB",380,"200","86","0.351168","CLMB"
"CLMB",381,"197","228","0.58243143","CLMB"
"CLMB",382,"193","83","0.454424279","CLMB"
"CLMB",383,"200","78","0.358401566","CLMB"
"CLMB",384,"*","*","*","CLMB"
"CLMB",386,"200","43","0.080169749","CLMB"
"CLMB",388,"187","86","0.326992442","CLMB"
"CLMB",389,"202","174","0.54332433","CLMB"
"CLMB",390,"209","79","0.373137361","CLMB"
"CLMB",391,"*","*","*","CLMB"
"CLMB",392,"193","77","0.270895222","CLMB"
"CLMB",393,"207","86","0.398894141","CLMB"
"CLMB",394,"*","*","*","CLMB"
"CLMB",395,"193","120","0.329005397","CLMB"
"CLMB",396,"200","138","0.429718737","CLMB"
"CLMB",397,"204","196","0.779144739","CLMB"
"CLMB",398,"200","106","0.186773176","CLMB"
"CLMB",399,"179","137","0.524150756","CLMB"
"CLMB",400,"204","116","0.423502234","CLMB"
"CLMB",402,"207","202","1.182579143","CLMB"
"CLMB",403,"187","190","0.668103217","CLMB"
"CLMB",404,"181","110","0.36175362","CLMB"
"KBSM",1,"193","161","0.295350449","KBSM"
"KBSM",2,"207","184","0.466372577","KBSM"
"KBSM",3,"195","155","0.403887298","KBSM"
"KBSM",4,"214","152","0.594865174","KBSM"
"KBSM",5,"195","57","0.238159727","KBSM"
"KBSM",7,"197","148","0.307862257","KBSM"
"KBSM",8,"207","145","0.505596557","KBSM"
"KBSM",9,"195","190","0.432142736","KBSM"
"KBSM",10,"193","114","0.196660826","KBSM"
"KBSM",11,"209","123","0.279766523","KBSM"
"KBSM",12,"204","117","0.322011256","KBSM"
"KBSM",13,"*","*","*","KBSM"
"KBSM",14,"202","76","0.118317608","KBSM"
"KBSM",15,"221","246","0.987716384","KBSM"
"KBSM",16,"*","*","*","KBSM"
"KBSM",17,"209","121","0.634553603","KBSM"
"KBSM",18,"193","169","0.360017425","KBSM"
"KBSM",19,"202","73","0.558582883","KBSM"
"KBSM",20,"195","92","0.333247646","KBSM"
"KBSM",21,"*","*","*","KBSM"
"KBSM",22,"193","143","0.357018277","KBSM"
"KBSM",23,"214","65","0.189359742","KBSM"
"KBSM",24,"*","*","*","KBSM"
"KBSM",25,"207","118","0.417189266","KBSM"
"KBSM",26,"211","138","0.678939077","KBSM"
"KBSM",27,"*","*","*","KBSM"
"KBSM",28,"197","159","0.569987608","KBSM"
"KBSM",29,"202","114","0.213266602","KBSM"
"KBSM",30,"211","62","0.13751171","KBSM"
"KBSM",31,"193","179","0.250726835","KBSM"
"KBSM",32,"204","150","0.665666471","KBSM"
"KBSM",33,"190","67","0.1248","KBSM"
"KBSM",34,"200","132","0.281127823","KBSM"
"KBSM",35,"209","119","0.311044466","KBSM"
"KBSM",36,"209","87","0.401085133","KBSM"
"KBSM",37,"214","205","0.546822184","KBSM"
"KBSM",38,"197","68","0.164775597","KBSM"
"KBSM",39,"197","83","0.117477065","KBSM"
"KBSM",40,"202","130","0.512841878","KBSM"
"KBSM",41,"209","140","0.175050341","KBSM"
"KBSM",42,"193","160","0.461703203","KBSM"
"KBSM",43,"209","158","0.720272905","KBSM"
"KBSM",44,"207","277","0.768526263","KBSM"
"KBSM",45,"*","*","*","KBSM"
"KBSM",46,"200","91","0.314345456","KBSM"
"KBSM",47,"*","*","*","KBSM"
"KBSM",48,"195","103","0.257973888","KBSM"
"KBSM",49,"*","*","*","KBSM"
"KBSM",50,"*","*","*","KBSM"
"KBSM",52,"190","85","0.180355048","KBSM"
"KBSM",53,"200","145","0.47984637","KBSM"
"KBSM",54,"214","150","0.640618915","KBSM"
"KBSM",55,"190","98","0.341769515","KBSM"
"KBSM",56,"197","88","0.333207413","KBSM"
"KBSM",57,"197","46","0.156761863","KBSM"
"KBSM",58,"*","*","*","KBSM"
"KBSM",59,"*","*","*","KBSM"
"KBSM",60,"*","*","*","KBSM"
"KBSM",61,"204","127","0.718533762","KBSM"
"KBSM",62,"204","93","0.372560364","KBSM"
"KBSM",63,"*","*","*","KBSM"
"KBSM",64,"200","80","0.164909747","KBSM"
"KBSM",65,"200","70","0.132074088","KBSM"
"KBSM",66,"214","96","0.554293163","KBSM"
"KBSM",67,"202","146","0.414712686","KBSM"
"KBSM",68,"200","99","0.30269665","KBSM"
"KBSM",69,"214","198","0.816024108","KBSM"
"KBSM",70,"216","111","0.371058306","KBSM"
"KBSM",71,"*","*","*","KBSM"
"KBSM",72,"195","139","0.391584923","KBSM"
"KBSM",73,"200","81","0.232238445","KBSM"
"KBSM",74,"209","161","0.691769525","KBSM"
"KBSM",75,"*","*","*","KBSM"
"KBSM",76,"*","*","*","KBSM"
"KBSM",77,"*","*","*","KBSM"
"KBSM",78,"193","98","0.302576708","KBSM"
"KBSM",79,"207","127","0.449848675","KBSM"
"KBSM",80,"200","140","0.36301945","KBSM"
"KBSM",81,"200","129","0.319060543","KBSM"
"KBSM",83,"209","110","0.664395652","KBSM"
"KBSM",84,"*","*","*","KBSM"
"KBSM",85,"195","96","0.175073378","KBSM"
"KBSM",86,"209","93","0.414855121","KBSM"
"KBSM",87,"197","114","0.265964644","KBSM"
"KBSM",88,"209","132","0.542324937","KBSM"
"KBSM",89,"197","136","0.338824653","KBSM"
"KBSM",90,"214","183","0.70340571","KBSM"
"KBSM",91,"218","113","0.511350102","KBSM"
"KBSM",93,"207","156","0.541851258","KBSM"
"KBSM",94,"193","165","0.365760419","KBSM"
"KBSM",95,"209","204","0.527903314","KBSM"
"KBSM",96,"193","43","0.039","KBSM"
"KBSM",97,"202","74","0.336501056","KBSM"
"KBSM",98,"*","*","*","KBSM"
"KBSM",99,"207","65","0.171585233","KBSM"
"KBSM",100,"209","102","0.360765759","KBSM"
"KBSM",101,"202","55","0.169606779","KBSM"
"KBSM",102,"*","*","*","KBSM"
"KBSM",103,"207","190","0.755603466","KBSM"
"KBSM",104,"197","171","0.544623636","KBSM"
"KBSM",105,"209","127","0.426950653","KBSM"
"KBSM",106,"200","150","0.515762652","KBSM"
"KBSM",107,"204","165","0.567936205","KBSM"
"KBSM",108,"*","*","*","KBSM"
"KBSM",110,"193","96","0.316879847","KBSM"
"KBSM",111,"193","126","0.235695017","KBSM"
"KBSM",112,"202","131","0.325974026","KBSM"
"KBSM",113,"*","*","*","KBSM"
"KBSM",114,"207","67","0.22300191","KBSM"
"KBSM",115,"218","74","0.298415789","KBSM"
"KBSM",116,"200","162","0.503195583","KBSM"
"KBSM",117,"207","67","0.290890686","KBSM"
"KBSM",118,"200","87","0.296683958","KBSM"
"KBSM",119,"218","192","0.740302272","KBSM"
"KBSM",120,"*","*","*","KBSM"
"KBSM",122,"211","39","0.04265","KBSM"
"KBSM",123,"223","112","0.341050763","KBSM"
"KBSM",125,"200","193","0.557422519","KBSM"
"KBSM",126,"193","35","*","KBSM"
"KBSM",127,"187","79","0.225872845","KBSM"
"KBSM",128,"193","36","0.08919807","KBSM"
"KBSM",130,"200","204","1.038719675","KBSM"
"KBSM",131,"193","194","0.701978092","KBSM"
"KBSM",132,"200","64","0.271249149","KBSM"
"KBSM",134,"209","96","0.314642042","KBSM"
"KBSM",135,"200","201","0.991199987","KBSM"
"KBSM",136,"214","89","0.593029781","KBSM"
"KBSM",137,"202","37","0.108783484","KBSM"
"KBSM",138,"*","*","*","KBSM"
"KBSM",139,"193","104","0.149818634","KBSM"
"KBSM",141,"*","*","*","KBSM"
"KBSM",142,"204","173","0.530165302","KBSM"
"KBSM",143,"216","104","0.477345328","KBSM"
"KBSM",144,"193","83","0.297066368","KBSM"
"KBSM",145,"207","66","0.135249542","KBSM"
"KBSM",146,"*","*","*","KBSM"
"KBSM",147,"202","155","0.502500853","KBSM"
"KBSM",148,"202","77","0.266243436","KBSM"
"KBSM",150,"195","83","0.118393922","KBSM"
"KBSM",151,"202","87","0.231070432","KBSM"
"KBSM",152,"200","122","0.320094537","KBSM"
"KBSM",153,"209","119","0.579912345","KBSM"
"KBSM",154,"209","207","0.72650826","KBSM"
"KBSM",155,"200","74","0.263254131","KBSM"
"KBSM",156,"204","129","0.451383924","KBSM"
"KBSM",157,"200","105","0.23134953","KBSM"
"KBSM",158,"193","204","0.36581695","KBSM"
"KBSM",159,"202","156","0.551318158","KBSM"
"KBSM",160,"*","*","*","KBSM"
"KBSM",161,"200","186","0.541143511","KBSM"
"KBSM",163,"197","124","0.323629352","KBSM"
"KBSM",164,"207","210","0.658308509","KBSM"
"KBSM",165,"*","*","*","KBSM"
"KBSM",166,"214","158","1.001100504","KBSM"
"KBSM",167,"200","86","0.309818409","KBSM"
"KBSM",168,"207","127","0.379228333","KBSM"
"KBSM",169,"*","*","*","KBSM"
"KBSM",170,"197","73","0.12968898","KBSM"
"KBSM",171,"200","127","0.327694929","KBSM"
"KBSM",172,"202","94","0.394104191","KBSM"
"KBSM",173,"193","63","0.13296","KBSM"
"KBSM",174,"200","128","0.372260664","KBSM"
"KBSM",175,"207","159","0.75289182","KBSM"
"KBSM",176,"200","105","0.349030845","KBSM"
"KBSM",177,"209","128","0.488707338","KBSM"
"KBSM",178,"197","108","0.370494426","KBSM"
"KBSM",179,"*","*","*","KBSM"
"KBSM",180,"*","*","*","KBSM"
"KBSM",181,"*","*","*","KBSM"
"KBSM",182,"207","109","0.517220108","KBSM"
"KBSM",184,"197","169","0.622712315","KBSM"
"KBSM",185,"193","71","0.158853372","KBSM"
"KBSM",186,"*","*","*","KBSM"
"KBSM",187,"211","248","0.752058809","KBSM"
"KBSM",188,"209","123","0.558220232","KBSM"
"KBSM",189,"202","114","0.556526183","KBSM"
"KBSM",190,"193","161","0.329231349","KBSM"
"KBSM",191,"197","85","0.311541056","KBSM"
"KBSM",192,"*","*","*","KBSM"
"KBSM",193,"214","146","0.58251284","KBSM"
"KBSM",194,"221","180","0.803029192","KBSM"
"KBSM",195,"202","66","0.14695","KBSM"
"KBSM",196,"214","184","0.796096528","KBSM"
"KBSM",197,"202","257","1.154731051","KBSM"
"KBSM",198,"200","181","0.697433436","KBSM"
"KBSM",199,"202","111","0.314852043","KBSM"
"KBSM",200,"200","100","0.48246381","KBSM"
"KBSM",201,"200","117","0.348046835","KBSM"
"KBSM",202,"*","*","*","KBSM"
"KBSM",203,"200","188","0.462338626","KBSM"
"KBSM",204,"216","126","0.407447359","KBSM"
"KBSM",205,"200","26","0.06438","KBSM"
"KBSM",206,"*","*","*","KBSM"
"KBSM",207,"193","99","0.372383565","KBSM"
"KBSM",208,"211","43","0.06396","KBSM"
"KBSM",209,"*","*","*","KBSM"
"KBSM",210,"214","106","0.463176525","KBSM"
"KBSM",211,"*","*","*","KBSM"
"KBSM",212,"*","*","*","KBSM"
"KBSM",213,"214","120","0.268606901","KBSM"
"KBSM",214,"214","79","0.303517117","KBSM"
"KBSM",215,"214","152","0.409871037","KBSM"
"KBSM",216,"211","157","0.557128358","KBSM"
"KBSM",217,"193","85","0.172280842","KBSM"
"KBSM",218,"209","106","0.307652832","KBSM"
"KBSM",219,"*","*","*","KBSM"
"KBSM",220,"*","*","*","KBSM"
"KBSM",221,"214","124","0.465667992","KBSM"
"KBSM",222,"207","119","0.621080937","KBSM"
"KBSM",223,"209","340","1.058591622","KBSM"
"KBSM",224,"209","151","0.670880735","KBSM"
"KBSM",225,"*","*","*","KBSM"
"KBSM",226,"214","105","0.288906695","KBSM"
"KBSM",227,"202","155","0.383140302","KBSM"
"KBSM",228,"202","225","0.620008197","KBSM"
"KBSM",229,"200","42","0.182267074","KBSM"
"KBSM",230,"190","105","0.19621028","KBSM"
"KBSM",231,"*","*","*","KBSM"
"KBSM",232,"195","120","0.428361558","KBSM"
"KBSM",233,"*","*","*","KBSM"
"KBSM",234,"209","170","0.721302441","KBSM"
"KBSM",235,"200","127","0.419910226","KBSM"
"KBSM",236,"202","154","0.462669037","KBSM"
"KBSM",237,"202","147","0.431547292","KBSM"
"KBSM",238,"*","*","*","KBSM"
"KBSM",239,"214","110","0.585301736","KBSM"
"KBSM",240,"*","*","*","KBSM"
"KBSM",241,"*","*","*","KBSM"
"KBSM",242,"195","143","0.260979581","KBSM"
"KBSM",243,"195","164","0.444856748","KBSM"
"KBSM",244,"200","100","0.440779834","KBSM"
"KBSM",245,"207","164","0.468589918","KBSM"
"KBSM",246,"197","90","0.233659453","KBSM"
"KBSM",247,"214","164","0.580923026","KBSM"
"KBSM",248,"214","147","0.707436416","KBSM"
"KBSM",249,"202","177","0.704241166","KBSM"
"KBSM",250,"207","84","0.173205113","KBSM"
"KBSM",251,"209","191","0.653035329","KBSM"
"KBSM",252,"204","91","0.316244027","KBSM"
"KBSM",253,"*","*","*","KBSM"
"KBSM",254,"200","136","0.412822093","KBSM"
"KBSM",255,"195","123","0.256781527","KBSM"
"KBSM",256,"221","207","0.869105987","KBSM"
"KBSM",257,"228","80","0.213752482","KBSM"
"KBSM",258,"193","118","0.611464913","KBSM"
"KBSM",259,"200","205","0.487249102","KBSM"
"KBSM",260,"200","93","0.399517883","KBSM"
"KBSM",261,"*","*","*","KBSM"
"KBSM",262,"*","*","*","KBSM"
"KBSM",263,"214","104","0.27548027","KBSM"
"KBSM",264,"207","98","0.366292469","KBSM"
"KBSM",265,"195","209","0.55027375","KBSM"
"KBSM",266,"*","*","*","KBSM"
"KBSM",267,"200","66","0.390435866","KBSM"
"KBSM",268,"195","50","0.13076","KBSM"
"KBSM",269,"*","*","*","KBSM"
"KBSM",270,"197","122","0.590962306","KBSM"
"KBSM",271,"*","*","*","KBSM"
"KBSM",272,"200","133","0.337301994","KBSM"
"KBSM",273,"207","149","0.374190339","KBSM"
"KBSM",274,"211","93","0.262886836","KBSM"
"KBSM",275,"200","121","0.334295284","KBSM"
"KBSM",276,"202","49","0.147827804","KBSM"
"KBSM",277,"211","344","1.133046158","KBSM"
"KBSM",278,"*","*","*","KBSM"
"KBSM",279,"200","67","0.235543721","KBSM"
"KBSM",280,"*","*","*","KBSM"
"KBSM",281,"197","121","0.234790806","KBSM"
"KBSM",282,"*","*","*","KBSM"
"KBSM",283,"207","103","0.256416486","KBSM"
"KBSM",284,"195","121","0.343481526","KBSM"
"KBSM",285,"209","136","0.564265428","KBSM"
"KBSM",286,"197","90","0.214934091","KBSM"
"KBSM",287,"214","211","0.532692379","KBSM"
"KBSM",288,"*","*","*","KBSM"
"KBSM",289,"209","119","0.450110298","KBSM"
"KBSM",290,"*","*","*","KBSM"
"KBSM",291,"*","*","*","KBSM"
"KBSM",292,"195","156","0.46147522","KBSM"
"KBSM",293,"197","156","0.401332739","KBSM"
"KBSM",294,"193","147","0.392963142","KBSM"
"KBSM",296,"207","163","0.706026678","KBSM"
"KBSM",297,"207","92","0.33986423","KBSM"
"KBSM",298,"195","88","0.24194123","KBSM"
"KBSM",299,"209","144","0.444494789","KBSM"
"KBSM",300,"207","73","0.341636995","KBSM"
"KBSM",301,"195","159","0.409188252","KBSM"
"KBSM",302,"190","202","0.357044991","KBSM"
"KBSM",303,"207","183","0.930238599","KBSM"
"KBSM",304,"207","281","0.872265023","KBSM"
"KBSM",305,"197","180","0.417478228","KBSM"
"KBSM",306,"200","86","0.291279436","KBSM"
"KBSM",307,"204","250","0.504605852","KBSM"
"KBSM",308,"207","190","0.764750319","KBSM"
"KBSM",310,"209","114","0.266897372","KBSM"
"KBSM",311,"*","*","*","KBSM"
"KBSM",312,"211","99","0.417171187","KBSM"
"KBSM",313,"200","224","0.713273253","KBSM"
"KBSM",314,"190","163","0.330155934","KBSM"
"KBSM",315,"202","164","0.537366929","KBSM"
"KBSM",316,"*","*","*","KBSM"
"KBSM",317,"197.5","172","0.3756120495","KBSM"
"KBSM",318,"207","175","0.333216174","KBSM"
"KBSM",319,"*","*","*","KBSM"
"KBSM",320,"202","115","0.395300968","KBSM"
"KBSM",322,"204","146","0.835434373","KBSM"
"KBSM",323,"200","132","0.286834831","KBSM"
"KBSM",324,"195","198","0.800067093","KBSM"
"KBSM",325,"207","266","0.950863041","KBSM"
"KBSM",326,"209","127","0.374547423","KBSM"
"KBSM",327,"*","*","*","KBSM"
"KBSM",328,"207","80","0.350434242","KBSM"
"KBSM",330,"200","192","0.584535859","KBSM"
"KBSM",332,"200","70","*","KBSM"
"KBSM",333,"218","101","0.417455857","KBSM"
"KBSM",334,"207","202","0.733191419","KBSM"
"KBSM",335,"207","78","0.188658033","KBSM"
"KBSM",336,"216","146","0.553707113","KBSM"
"KBSM",337,"193","160","0.301466698","KBSM"
"KBSM",338,"207","72","0.237718145","KBSM"
"KBSM",339,"204","140","0.512624717","KBSM"
"KBSM",340,"*","*","*","KBSM"
"KBSM",341,"195","111","0.255673037","KBSM"
"KBSM",342,"190","114","0.347214485","KBSM"
"KBSM",343,"195","159","0.276827749","KBSM"
"KBSM",344,"*","*","*","KBSM"
"KBSM",345,"195","65","0.120508731","KBSM"
"KBSM",346,"195","133","0.307174437","KBSM"
"KBSM",347,"200","72","0.157334143","KBSM"
"KBSM",349,"202","99","0.213097632","KBSM"
"KBSM",350,"209","113","0.459236244","KBSM"
"KBSM",352,"202","139","0.487518032","KBSM"
"KBSM",353,"202","155","0.514871941","KBSM"
"KBSM",354,"207","86","0.183494609","KBSM"
"KBSM",355,"*","*","*","KBSM"
"KBSM",356,"195","159","0.457972342","KBSM"
"KBSM",358,"195","223","0.739583026","KBSM"
"KBSM",359,"209","100","0.297655601","KBSM"
"KBSM",360,"197","205","1.034961139","KBSM"
"KBSM",361,"204","222","0.638230106","KBSM"
"KBSM",362,"*","*","*","KBSM"
"KBSM",363,"207","106","0.353473486","KBSM"
"KBSM",364,"202","116","0.505017653","KBSM"
"KBSM",365,"195","181","0.494710376","KBSM"
"KBSM",366,"207","101","0.325724926","KBSM"
"KBSM",367,"202","187","0.860177284","KBSM"
"KBSM",368,"*","*","*","KBSM"
"KBSM",369,"200","152","0.827567755","KBSM"
"KBSM",370,"209","151","0.481633032","KBSM"
"KBSM",371,"209","80","0.174326072","KBSM"
"KBSM",372,"209","143","0.460635209","KBSM"
"KBSM",373,"202","170","0.446027261","KBSM"
"KBSM",374,"202","124","0.453211667","KBSM"
"KBSM",375,"209","49","0.126510278","KBSM"
"KBSM",376,"*","*","*","KBSM"
"KBSM",377,"*","*","*","KBSM"
"KBSM",378,"209","96","0.377193288","KBSM"
"KBSM",379,"214","143","0.724627009","KBSM"
"KBSM",380,"207","145","0.551588574","KBSM"
"KBSM",381,"204","197","0.714466256","KBSM"
"KBSM",382,"200","163","0.492599481","KBSM"
"KBSM",383,"211","44","0.169288043","KBSM"
"KBSM",384,"190","171","0.336126621","KBSM"
"KBSM",386,"200","104","0.371439476","KBSM"
"KBSM",388,"195","118","0.402476816","KBSM"
"KBSM",389,"207","185","0.704116435","KBSM"
"KBSM",390,"211","68","0.358392913","KBSM"
"KBSM",391,"190","100","0.170410973","KBSM"
"KBSM",392,"212.5","80.5","0.3433018625","KBSM"
"KBSM",393,"207","82","0.285003061","KBSM"
"KBSM",394,"190","104","0.13739","KBSM"
"KBSM",395,"204","136","0.379828062","KBSM"
"KBSM",396,"202","176","0.500741613","KBSM"
"KBSM",397,"207","194","0.765766505","KBSM"
"KBSM",398,"202","82","0.263465244","KBSM"
"KBSM",399,"195","97","0.179590105","KBSM"
"KBSM",400,"207","123","0.546719925","KBSM"
"KBSM",402,"207","182","0.70872002","KBSM"
"KBSM",403,"197","167","0.412610227","KBSM"
"KBSM",404,"200","120","0.333757084","KBSM"
"KING",1,"111","34","0.033","KING"
"KING",2,"*","*","*","KING"
"KING",3,"117","245","0.349769585","KING"
"KING",4,"111","66","0.052","KING"
"KING",5,"117","41","0.061","KING"
"KING",7,"*","*","*","KING"
"KING",8,"117","154","0.267073171","KING"
"KING",9,"113","114","0.147928177","KING"
"KING",10,"111","15","*","KING"
"KING",11,"158","34","0.026","KING"
"KING",12,"113","76","0.058","KING"
"KING",13,"111","23","*","KING"
"KING",14,"*","*","*","KING"
"KING",15,"123","78","0.143649194","KING"
"KING",16,"113","66","0.07","KING"
"KING",17,"113","166","0.462356067","KING"
"KING",18,"111","125","0.117","KING"
"KING",19,"113","61","0.053","KING"
"KING",20,"111","121","0.227748691","KING"
"KING",21,"*","*","*","KING"
"KING",22,"111","62","0.074","KING"
"KING",23,"113","96","0.319398496","KING"
"KING",24,"*","*","*","KING"
"KING",25,"127","29","*","KING"
"KING",26,"125","195","0.452760736","KING"
"KING",27,"113","23","*","KING"
"KING",28,"113","149","0.293038674","KING"
"KING",29,"111","60","0.042","KING"
"KING",30,"113","81","0.084","KING"
"KING",31,"111","119","0.109","KING"
"KING",32,"111","203","0.394315245","KING"
"KING",33,"113","119","0.148","KING"
"KING",34,"120","59","0.048","KING"
"KING",35,"113","93","0.119","KING"
"KING",36,"111","87","0.147","KING"
"KING",37,"111","172","0.19375","KING"
"KING",38,"111","78","0.125","KING"
"KING",39,"112","36","0.031","KING"
"KING",40,"158","84","0.246556563","KING"
