"SITE","LINE","FL50","TC","BIO"
"KBSM",55,190,98,0.341769515
"KBSM",56,197,88,0.333207413
"KBSM",57,197,46,0.156761863
"KBSM",58,NA,NA,NA
"KBSM",59,NA,NA,NA
"KBSM",60,NA,NA,NA
"KBSM",61,204,127,0.718533762
"KBSM",62,204,93,0.372560364
"KBSM",63,NA,NA,NA
"KBSM",64,200,80,0.164909747
"KBSM",65,200,70,0.132074088
"KBSM",66,214,96,0.554293163
"KBSM",67,202,146,0.414712686
"KBSM",68,200,99,0.30269665
"KBSM",69,214,198,0.816024108
"KBSM",70,216,111,0.371058306
"KBSM",71,NA,NA,NA
"KBSM",72,195,139,0.391584923
"KBSM",73,200,81,0.232238445
"KBSM",74,209,161,0.691769525
"KBSM",75,NA,NA,NA
"KBSM",76,NA,NA,NA
"KBSM",77,NA,NA,NA
"KBSM",78,193,98,0.302576708
"KBSM",79,207,127,0.449848675
"KBSM",80,200,140,0.36301945
"KBSM",81,200,129,0.319060543
"KBSM",83,209,110,0.664395652
"KBSM",84,NA,NA,NA
"KBSM",85,195,96,0.175073378
"KBSM",86,209,93,0.414855121
"KBSM",87,197,114,0.265964644
"KBSM",88,209,132,0.542324937
"KBSM",89,197,136,0.338824653
"KBSM",90,214,183,0.70340571
"KBSM",91,218,113,0.511350102
"KBSM",93,207,156,0.541851258
"KBSM",94,193,165,0.365760419
"KBSM",95,209,204,0.527903314
"KBSM",96,193,43,0.039
"KBSM",97,202,74,0.336501056
"KBSM",98,NA,NA,NA
"KBSM",99,207,65,0.171585233
"KBSM",100,209,102,0.360765759
"KBSM",101,202,55,0.169606779
"KBSM",102,NA,NA,NA
"KBSM",103,207,190,0.755603466
"KBSM",104,197,171,0.544623636
"KBSM",105,209,127,0.426950653
"KBSM",106,200,150,0.515762652
"KBSM",107,204,165,0.567936205
"KBSM",108,NA,NA,NA
"KBSM",110,193,96,0.316879847
"KBSM",111,193,126,0.235695017
"KBSM",112,202,131,0.325974026
"KBSM",113,NA,NA,NA
"KBSM",114,207,67,0.22300191
"KBSM",115,218,74,0.298415789
"KBSM",116,200,162,0.503195583
"KBSM",117,207,67,0.290890686
"KBSM",118,200,87,0.296683958
"KBSM",119,218,192,0.740302272
"KBSM",120,NA,NA,NA
"KBSM",122,211,39,0.04265
"KBSM",123,223,112,0.341050763
"KBSM",125,200,193,0.557422519
"KBSM",126,193,35,NA
"KBSM",127,187,79,0.225872845
"KBSM",128,193,36,0.08919807
"KBSM",130,200,204,1.038719675
"KBSM",131,193,194,0.701978092
"KBSM",132,200,64,0.271249149
"KBSM",134,209,96,0.314642042
"KBSM",135,200,201,0.991199987
"KBSM",136,214,89,0.593029781
"KBSM",137,202,37,0.108783484
"KBSM",138,NA,NA,NA
"KBSM",139,193,104,0.149818634
"KBSM",141,NA,NA,NA
"KBSM",142,204,173,0.530165302
"KBSM",143,216,104,0.477345328
"KBSM",144,193,83,0.297066368
"KBSM",145,207,66,0.135249542
"KBSM",146,NA,NA,NA
"KBSM",147,202,155,0.502500853
"KBSM",148,202,77,0.266243436
"KBSM",150,195,83,0.118393922
"KBSM",151,202,87,0.231070432
"KBSM",152,200,122,0.320094537
"KBSM",153,209,119,0.579912345
"KBSM",154,209,207,0.72650826
"KBSM",155,200,74,0.263254131
"KBSM",156,204,129,0.451383924
"KBSM",157,200,105,0.23134953
"KBSM",158,193,204,0.36581695
"KBSM",159,202,156,0.551318158
"KBSM",160,NA,NA,NA
"KBSM",161,200,186,0.541143511
"KBSM",163,197,124,0.323629352
"KBSM",164,207,210,0.658308509
"KBSM",165,NA,NA,NA
"KBSM",166,214,158,1.001100504
"KBSM",167,200,86,0.309818409
"KBSM",168,207,127,0.379228333
"KBSM",169,NA,NA,NA
"KBSM",170,197,73,0.12968898
"KBSM",171,200,127,0.327694929
"KBSM",172,202,94,0.394104191
"KBSM",173,193,63,0.13296
"KBSM",174,200,128,0.372260664
"KBSM",175,207,159,0.75289182
"KBSM",176,200,105,0.349030845
"KBSM",177,209,128,0.488707338
"KBSM",178,197,108,0.370494426
"KBSM",179,NA,NA,NA
"KBSM",180,NA,NA,NA
"KBSM",181,NA,NA,NA
"KBSM",182,207,109,0.517220108
"KBSM",184,197,169,0.622712315
"KBSM",185,193,71,0.158853372
"KBSM",186,NA,NA,NA
"KBSM",187,211,248,0.752058809
"KBSM",188,209,123,0.558220232
"KBSM",189,202,114,0.556526183
"KBSM",190,193,161,0.329231349
"KBSM",191,197,85,0.311541056
"KBSM",192,NA,NA,NA
"KBSM",193,214,146,0.58251284
"KBSM",194,221,180,0.803029192
"KBSM",195,202,66,0.14695
"KBSM",196,214,184,0.796096528
"KBSM",197,202,257,1.154731051
"KBSM",198,200,181,0.697433436
"KBSM",199,202,111,0.314852043
"KBSM",200,200,100,0.48246381
"KBSM",201,200,117,0.348046835
"KBSM",202,NA,NA,NA
"KBSM",203,200,188,0.462338626
"KBSM",204,216,126,0.407447359
"KBSM",205,200,26,0.06438
"KBSM",206,NA,NA,NA
"KBSM",207,193,99,0.372383565
"KBSM",208,211,43,0.06396
"KBSM",209,NA,NA,NA
"KBSM",210,214,106,0.463176525
"KBSM",211,NA,NA,NA
"KBSM",212,NA,NA,NA
"KBSM",213,214,120,0.268606901
"KBSM",214,214,79,0.303517117
"KBSM",215,214,152,0.409871037
"KBSM",216,211,157,0.557128358
"KBSM",217,193,85,0.172280842
"KBSM",218,209,106,0.307652832
"KBSM",219,NA,NA,NA
"KBSM",220,NA,NA,NA
"KBSM",221,214,124,0.465667992
"KBSM",222,207,119,0.621080937
"KBSM",223,209,340,1.058591622
"KBSM",224,209,151,0.670880735
"KBSM",225,NA,NA,NA
"KBSM",226,214,105,0.288906695
"KBSM",227,202,155,0.383140302
"KBSM",228,202,225,0.620008197
"KBSM",229,200,42,0.182267074
"KBSM",230,190,105,0.19621028
"KBSM",231,NA,NA,NA
"KBSM",232,195,120,0.428361558
"KBSM",233,NA,NA,NA
"KBSM",234,209,170,0.721302441
"KBSM",235,200,127,0.419910226
"KBSM",236,202,154,0.462669037
"KBSM",237,202,147,0.431547292
"KBSM",238,NA,NA,NA
"KBSM",239,214,110,0.585301736
"KBSM",240,NA,NA,NA
"KBSM",241,NA,NA,NA
"KBSM",242,195,143,0.260979581
"KBSM",243,195,164,0.444856748
"KBSM",244,200,100,0.440779834
"KBSM",245,207,164,0.468589918
"KBSM",246,197,90,0.233659453
"KBSM",247,214,164,0.580923026
"KBSM",248,214,147,0.707436416
"KBSM",249,202,177,0.704241166
"KBSM",250,207,84,0.173205113
"KBSM",251,209,191,0.653035329
"KBSM",252,204,91,0.316244027
"KBSM",253,NA,NA,NA
"KBSM",254,200,136,0.412822093
"KBSM",255,195,123,0.256781527
"KBSM",256,221,207,0.869105987
"KBSM",257,228,80,0.213752482
"KBSM",258,193,118,0.611464913
"KBSM",259,200,205,0.487249102
"KBSM",260,200,93,0.399517883
"KBSM",261,NA,NA,NA
"KBSM",262,NA,NA,NA
"KBSM",263,214,104,0.27548027
"KBSM",264,207,98,0.366292469
"KBSM",265,195,209,0.55027375
"KBSM",266,NA,NA,NA
"KBSM",267,200,66,0.390435866
"KBSM",268,195,50,0.13076
"KBSM",269,NA,NA,NA
"KBSM",270,197,122,0.590962306
"KBSM",271,NA,NA,NA
"KBSM",272,200,133,0.337301994
"KBSM",273,207,149,0.374190339
"KBSM",274,211,93,0.262886836
"KBSM",275,200,121,0.334295284
"KBSM",276,202,49,0.147827804
"KBSM",277,211,344,1.133046158
"KBSM",278,NA,NA,NA
"KBSM",279,200,67,0.235543721
"KBSM",280,NA,NA,NA
"KBSM",281,197,121,0.234790806
"KBSM",282,NA,NA,NA
"KBSM",283,207,103,0.256416486
"KBSM",284,195,121,0.343481526
"KBSM",285,209,136,0.564265428
"KBSM",286,197,90,0.214934091
"KBSM",287,214,211,0.532692379
"KBSM",288,NA,NA,NA
"KBSM",289,209,119,0.450110298
"KBSM",290,NA,NA,NA
"KBSM",291,NA,NA,NA
"KBSM",292,195,156,0.46147522
"KBSM",293,197,156,0.401332739
"KBSM",294,193,147,0.392963142
"KBSM",296,207,163,0.706026678
"KBSM",297,207,92,0.33986423
"KBSM",298,195,88,0.24194123
"KBSM",299,209,144,0.444494789
"KBSM",300,207,73,0.341636995
"KBSM",301,195,159,0.409188252
"KBSM",302,190,202,0.357044991
"KBSM",303,207,183,0.930238599
"KBSM",304,207,281,0.872265023
"KBSM",305,197,180,0.417478228
"KBSM",306,200,86,0.291279436
"KBSM",307,204,250,0.504605852
"KBSM",308,207,190,0.764750319
"KBSM",310,209,114,0.266897372
"KBSM",311,NA,NA,NA
"KBSM",312,211,99,0.417171187
"KBSM",313,200,224,0.713273253
"KBSM",314,190,163,0.330155934
"KBSM",315,202,164,0.537366929
"KBSM",316,NA,NA,NA
"KBSM",317,197.5,172,0.3756120495
"KBSM",318,207,175,0.333216174
"KBSM",319,NA,NA,NA
"KBSM",320,202,115,0.395300968
"KBSM",322,204,146,0.835434373
"KBSM",323,200,132,0.286834831
"KBSM",324,195,198,0.800067093
"KBSM",325,207,266,0.950863041
"KBSM",326,209,127,0.374547423
"KBSM",327,NA,NA,NA
"KBSM",328,207,80,0.350434242
"KBSM",330,200,192,0.584535859
"KBSM",332,200,70,NA
"KBSM",333,218,101,0.417455857
"KBSM",334,207,202,0.733191419
"KBSM",335,207,78,0.188658033
"KBSM",336,216,146,0.553707113
"KBSM",337,193,160,0.301466698
"KBSM",338,207,72,0.237718145
"KBSM",339,204,140,0.512624717
"KBSM",340,NA,NA,NA
"KBSM",341,195,111,0.255673037
"KBSM",342,190,114,0.347214485
"KBSM",343,195,159,0.276827749
"KBSM",344,NA,NA,NA
"KBSM",345,195,65,0.120508731
"KBSM",346,195,133,0.307174437
"KBSM",347,200,72,0.157334143
"KBSM",349,202,99,0.213097632
"KBSM",350,209,113,0.459236244
"KBSM",352,202,139,0.487518032
"KBSM",353,202,155,0.514871941
"KBSM",354,207,86,0.183494609
"KBSM",355,NA,NA,NA
"KBSM",356,195,159,0.457972342
"KBSM",358,195,223,0.739583026
"KBSM",359,209,100,0.297655601
"KBSM",360,197,205,1.034961139
"KBSM",361,204,222,0.638230106
"KBSM",362,NA,NA,NA
"KBSM",363,207,106,0.353473486
"KBSM",364,202,116,0.505017653
"KBSM",365,195,181,0.494710376
"KBSM",366,207,101,0.325724926
"KBSM",367,202,187,0.860177284
"KBSM",368,NA,NA,NA
"KBSM",369,200,152,0.827567755
"KBSM",370,209,151,0.481633032
"KBSM",371,209,80,0.174326072
"KBSM",372,209,143,0.460635209
"KBSM",373,202,170,0.446027261
"KBSM",374,202,124,0.453211667
"KBSM",375,209,49,0.126510278
"KBSM",376,NA,NA,NA
"KBSM",377,NA,NA,NA
"KBSM",378,209,96,0.377193288
"KBSM",379,214,143,0.724627009
"KBSM",380,207,145,0.551588574
"KBSM",381,204,197,0.714466256
"KBSM",382,200,163,0.492599481
"KBSM",383,211,44,0.169288043
"KBSM",384,190,171,0.336126621
"KBSM",386,200,104,0.371439476
"KBSM",388,195,118,0.402476816
"KBSM",389,207,185,0.704116435
"KBSM",390,211,68,0.358392913
"KBSM",391,190,100,0.170410973
"KBSM",392,212.5,80.5,0.3433018625
"KBSM",393,207,82,0.285003061
"KBSM",394,190,104,0.13739
"KBSM",395,204,136,0.379828062
"KBSM",396,202,176,0.500741613
"KBSM",397,207,194,0.765766505
"KBSM",398,202,82,0.263465244
"KBSM",399,195,97,0.179590105
"KBSM",400,207,123,0.546719925
"KBSM",402,207,182,0.70872002
"KBSM",403,197,167,0.412610227
"KBSM",404,200,120,0.333757084
"KING",1,111,34,0.033
"KING",2,NA,NA,NA
"KING",3,117,245,0.349769585
"KING",4,111,66,0.052
"KING",5,117,41,0.061
"KING",7,NA,NA,NA
"KING",8,117,154,0.267073171
"KING",9,113,114,0.147928177
"KING",10,111,15,NA
"KING",11,158,34,0.026
"KING",12,113,76,0.058
"KING",13,111,23,NA
"KING",14,NA,NA,NA
"KING",15,123,78,0.143649194
"KING",16,113,66,0.07
"KING",17,113,166,0.462356067
"KING",18,111,125,0.117
"KING",19,113,61,0.053
"KING",20,111,121,0.227748691
"KING",21,NA,NA,NA
"KING",22,111,62,0.074
"KING",23,113,96,0.319398496
"KING",24,NA,NA,NA
"KING",25,127,29,NA
"KING",26,125,195,0.452760736
"KING",27,113,23,NA
"KING",28,113,149,0.293038674
"KING",29,111,60,0.042
"KING",30,113,81,0.084
"KING",31,111,119,0.109
"KING",32,111,203,0.394315245
"KING",33,113,119,0.148
"KING",34,120,59,0.048
"KING",35,113,93,0.119
"KING",36,111,87,0.147
"KING",37,111,172,0.19375
"KING",38,111,78,0.125
"KING",39,112,36,0.031
"KING",40,158,84,0.246556563
"KING",41,111,139,0.19009901
"KING",42,111,121,0.175052854
"KING",43,113,63,0.088
"KING",44,113,123,0.09
"KING",45,111,61,0.054
"KING",46,111,146,0.192213115
"KING",47,NA,NA,NA
"KING",48,117,103,0.164164827
"KING",49,111,NA,0.074
"KING",50,111,88,0.08
"KING",52,NA,NA,NA
"KING",53,113,67,0.057
"KING",54,120,189,0.320151134
"KING",55,112,60.5,0.1301966525
"KING",56,117,79,0.117
"KING",57,111,26,0.022
"KING",58,111,155,0.103
"KING",59,NA,NA,NA
"KING",60,NA,NA,NA
"KING",61,111,48,0.071
"KING",62,123,106,0.299850075
"KING",63,113,124,0.170040486
"KING",64,111,178,0.190055249
"KING",65,130,37,0.025
"KING",66,111,22,0.023
"KING",67,118,84,0.073
"KING",68,113,68,0.112
"KING",69,117,88,0.09
"KING",70,117,58,0.073
"KING",71,112,112,0.1060837695
"KING",72,123,82,0.128
"KING",73,111,147,0.175
"KING",74,125,161,0.372181552
"KING",75,111,46,0.085
"KING",76,118,24,NA
"KING",77,113,69,0.200645756
"KING",78,NA,NA,NA
"KING",79,120,43,0.111
"KING",80,111,142,0.146262189
"KING",81,111,123,0.195203837
"KING",83,125,146,0.380831409
"KING",84,113,13,0.024
"KING",85,111,93,0.13
"KING",86,111,88,0.129
"KING",87,111,42,NA
"KING",88,120,125,0.230591631
"KING",89,120,31,NA
"KING",90,123.5,68,0.157714844
"KING",91,148,129,0.524912281
"KING",93,113,125.5,0.184375
"KING",94,111,149,0.239968279
"KING",95,NA,NA,NA
"KING",96,111,140,0.143
"KING",97,123,52,0.085
"KING",98,111,139,0.21575985
"KING",99,113,23,NA
"KING",100,111,103,0.062
"KING",101,117,10,NA
"KING",102,111,66,0.074
"KING",103,113,69.5,0.1
"KING",104,113,135,0.282492582
"KING",105,134,111,0.166
"KING",106,115.5,190.5,0.190274862
"KING",107,111,41,NA
"KING",108,111,78,0.042
"KING",110,111,108,0.235294118
"KING",111,111,67,0.104
"KING",112,113,9,NA
"KING",113,120,140.5,0.0735
"KING",114,127,34,0.034
"KING",115,113,102,0.206
"KING",116,112,98,0.1015
"KING",117,111,129,0.126
"KING",118,111,40,0.03
"KING",119,123,141,0.190975866
"KING",120,117,71,0.088
"KING",122,113,53,0.055
"KING",123,113,199,0.362599772
"KING",125,111,106,0.107
"KING",126,113,43,0.022
"KING",127,111,71,0.228093645
"KING",128,113,44,0.048
"KING",130,111,170,0.312962963
"KING",131,113,167,0.471014493
"KING",132,117,97,0.149
"KING",134,125,45,0.06
"KING",135,113,135,0.240255831
"KING",136,125,74,0.417399618
"KING",137,NA,NA,NA
"KING",138,111,41,0.042
"KING",139,117,66,NA
"KING",141,125,119,0.234200743
"KING",142,111,99,0.079
"KING",143,111,167,0.458105263
"KING",144,117,17,NA
"KING",145,120,NA,NA
"KING",146,117,11,NA
"KING",147,111,103,0.111
"KING",148,NA,NA,NA
"KING",150,111,188,0.146153846
"KING",151,120,4,NA
"KING",152,111,45,0.046
"KING",153,134,66,0.156
"KING",154,127,110,0.156716418
"KING",155,113,92,0.137
"KING",156,111,30,0.795698925
"KING",157,111,118,0.233564014
"KING",158,111,179,0.11
"KING",159,117,51,0.061
"KING",160,111,140,0.127
"KING",161,125,197,0.081
"KING",163,NA,NA,NA
"KING",164,NA,NA,NA
"KING",165,111,73,0.06
"KING",166,127,135,0.305362319
"KING",167,111,134,0.265300896
"KING",168,NA,NA,NA
"KING",169,111,65,0.112
"KING",170,127,74,0.146
"KING",171,111,84,0.077
"KING",172,130,14,NA
"KING",173,111,40,0.032
"KING",174,111,79,0.126
"KING",175,111,131,0.297301855
"KING",176,120,82,0.176
"KING",177,112,98,0.1055
"KING",178,120,115,0.279539852
"KING",179,117,132,0.2
"KING",180,117,211,0.250616389
"KING",181,NA,NA,NA
"KING",182,114,55,0.081
"KING",184,123,23,NA
"KING",185,111,160,0.203508772
"KING",186,125,73,0.129
"KING",187,111,132,0.163915344
"KING",188,113,117,0.328608247
"KING",189,111,43,0.06
"KING",190,111,33,0.043
"KING",191,111,396,0.715924827
"KING",192,111,212,0.21512605
"KING",193,113,134,0.303875969
"KING",194,120,148,0.257011259
"KING",195,111,45,NA
"KING",196,134,95,0.291576674
"KING",197,111,184,0.16
"KING",198,117,106,0.223540146
"KING",199,127,87,0.106
"KING",200,113,94,0.143863179
"KING",201,111,93,0.318058252
"KING",202,111,50,0.037
"KING",203,113,209,0.134
"KING",204,NA,NA,NA
"KING",205,118.5,46.5,0.073
"KING",206,NA,NA,NA
"KING",207,130,19,NA
"KING",208,NA,NA,NA
"KING",209,113,143,0.321482098
"KING",210,117,45,0.035
"KING",211,NA,NA,NA
"KING",212,111,74,0.052
"KING",213,123,63,0.033
"KING",214,113,93,0.222170362
"KING",215,127,313,0.689811105
"KING",216,111,51,0.036
"KING",217,111,141,0.235525025
"KING",218,113,119,0.154022989
"KING",219,123,48,0.053
"KING",220,111,203,0.365364583
"KING",221,112,57,0.046
"KING",222,113,96,0.07
"KING",223,113,194,0.261480787
"KING",224,120,205,0.50028169
"KING",225,144,47,0.106
"KING",226,111,106,0.166533865
"KING",227,127,52,0.091
"KING",228,111,80.5,0.157524272
"KING",229,113,75,0.071
"KING",230,111,156,0.124
"KING",231,113,67,0.05
"KING",232,111,147,0.172375691
"KING",233,NA,NA,NA
"KING",234,113,280,0.603515625
"KING",235,NA,NA,NA
"KING",236,113,79,0.1
"KING",237,113,121,0.101
"KING",238,127,33,0.165
"KING",239,111,102,0.216302521
"KING",240,111,186,0.305102954
"KING",241,113,159,0.247089041
"KING",242,113,61,0.043
"KING",243,113,169,0.317508418
"KING",244,120,70,0.043
"KING",245,127,44,0.052
"KING",246,NA,NA,NA
"KING",247,111,104,0.142
"KING",248,123,132,0.874781523
"KING",249,113,237,0.2354415585
"KING",250,111,130,0.237329287
"KING",251,111,165,0.227198697
"KING",252,111,75,0.131
"KING",253,111,204,0.561643836
"KING",254,111,107,0.139
"KING",255,123,41,0.029
"KING",256,125,52,0.064
"KING",257,115,89.5,0.128994778
"KING",258,111,356,0.583821478
"KING",259,111,137,0.199672131
"KING",260,120,70,0.104993464
"KING",261,123,20,NA
"KING",262,123,118,0.09
"KING",263,111,205,0.292805755
"KING",264,113,68,0.086
"KING",265,119,46.5,0.089
"KING",266,117,192,0.315789474
"KING",267,134,98,0.256600362
"KING",268,NA,NA,NA
"KING",269,113,121,0.103
"KING",270,113,126,0.190435707
"KING",271,113,43,0.273366834
"KING",272,111,60,0.094
"KING",273,NA,NA,NA
"KING",274,127,32,NA
"KING",275,111,127,0.132
"KING",276,111,NA,NA
"KING",277,113,219,0.470718232
"KING",278,113,240,0.439481555
"KING",279,115,42.5,0.107
"KING",280,111,180,0.201
"KING",281,111,217,0.328571429
"KING",282,139,127,0.131
"KING",283,111,145.5,0.199023207
"KING",284,123,92,0.197746479
"KING",285,113,244,0.411942175
"KING",286,113,64,0.049
"KING",287,NA,NA,NA
"KING",288,111,119,0.344920635
"KING",289,127,28,0.034
"KING",290,127,31,NA
"KING",291,127,80,0.191
"KING",292,111,178,0.217180984
"KING",293,111,102,0.093
"KING",294,111,187,0.249599359
"KING",296,117,70,0.0605
"KING",297,111,172,0.28501827
"KING",298,113,118,0.182539683
"KING",299,132,10,NA
"KING",300,139,78,0.171
"KING",301,111,35,0.053
"KING",302,111,85,0.068
"KING",303,113,130,0.420143027
"KING",304,123,175,0.394557823
"KING",305,112,42.5,NA
"KING",306,111,37,0.029
"KING",307,111,209,0.129
"KING",308,113,138,0.250331858
"KING",310,113,60,0.041
"KING",311,111,46,0.051
"KING",312,120,129,0.349399657
"KING",313,117,84,0.102
"KING",314,111,73,0.12
"KING",315,127,91,0.118
"KING",316,NA,NA,NA
"KING",317,117,89,0.071
"KING",318,120,119,0.15688716
"KING",319,111,149,0.225735797
"KING",320,117,95,0.259701493
"KING",322,117,213,0.68230834
"KING",323,113,183,0.195815451
"KING",324,117,78,0.071
"KING",325,125,129,0.095
"KING",326,111,91,0.177676951
"KING",327,111,59,0.03
"KING",328,113,87,0.063
"KING",330,111,145,0.137
"KING",332,111,33,0.0385
"KING",333,113,22,NA
"KING",334,121.5,150.5,0.244336283
"KING",335,NA,NA,NA
"KING",336,123,12,0.073
"KING",337,130,50,0.05
"KING",338,111,79,0.093
"KING",339,113,32,0.03
"KING",340,113,115,0.142037303
"KING",341,113,45,0.049
"KING",342,111,81,0.095
"KING",343,111,56,NA
"KING",344,158,50,0.092
"KING",345,111,46,NA
"KING",346,113,90,0.083
"KING",347,111,73,0.051
"KING",349,111,115,0.17443609
"KING",350,120,114,0.243088235
"KING",352,123,212,0.214483395
"KING",353,130,99,0.101
"KING",354,113,55,0.05
"KING",355,137,90,0.179976985
"KING",356,113,105,0.12
"KING",358,120,87,0.097
"KING",359,123,141,0.122
"KING",360,123,74,0.076
"KING",361,111,89,0.07
"KING",362,113,156,0.112
"KING",363,111,91,0.1598540365
"KING",364,113,160,0.179453836
"KING",365,111,157,0.250223214
"KING",366,111,98,0.226822917
"KING",367,113,187,0.559649123
"KING",368,111,48,NA
"KING",369,113,127.5,0.137040335
"KING",370,111,55,0.055
"KING",371,113,53,0.088
"KING",372,111,149,0.170873786
"KING",373,111,133,0.133711691
"KING",374,111,143,0.232
"KING",375,117,65,0.106
"KING",376,113,105,0.337057057
"KING",377,117,26,NA
"KING",378,111,22,NA
"KING",379,117,27,NA
"KING",380,111,102,0.148
"KING",381,113,266,0.289990467
"KING",382,112,139,0.254773234
"KING",383,112,104.5,0.186639485
"KING",384,111,81,0.081
"KING",386,111,52,NA
"KING",388,NA,NA,NA
"KING",389,125,184,0.395332555
"KING",390,123,47,0.076
"KING",391,113,40.5,0.064
"KING",392,117,43,0.049
"KING",393,125,181,0.538674033
"KING",394,NA,NA,NA
"KING",395,120,34,0.021
"KING",396,NA,NA,NA
"KING",397,111,143,0.313778409
"KING",398,111,68,0.089
"KING",399,NA,NA,NA
"KING",400,113,31,0.217232376
"KING",402,131,121.5,0.2700553925
"KING",403,111,212,0.193
"KING",404,125,64,0.109
"LINC",1,187,283,0.587743519
"LINC",2,208,305,0.768126885
"LINC",3,195,205,0.904024994
"LINC",4,210,151,2.34075201
"LINC",5,196,99,0.451339951
"LINC",7,193,141,0.326899062
"LINC",8,199,47,0.119112147
"LINC",9,195,230,1.157520851
"LINC",10,NA,NA,NA
"LINC",11,211,99,0.3736933985
"LINC",12,197,147,0.525817095
"LINC",13,234,33,NA
"LINC",14,194,122,0.221790005
"LINC",15,210,208,2.040428942
"LINC",16,198,74,0.271850435
"LINC",17,208,201,1.474268894
"LINC",18,192,169,0.631215416
"LINC",19,198,261,1.199032518
"LINC",20,194,238,1.147818737
"LINC",21,193,133,0.483796041
"LINC",22,189,166,0.493175851
"LINC",23,189,173,0.436269327
"LINC",24,205,156,0.398987957
"LINC",25,201,267,2.19233443
"LINC",26,202.5,156,1.206133608
"LINC",27,NA,NA,NA
"LINC",28,198,243,2.255592587
"LINC",29,197,205,1.028746656
"LINC",30,206.5,122.5,0.5557731825
"LINC",31,193,333,1.099133233
"LINC",32,200.5,211,1.532936453
"LINC",33,188,191,0.455587805
"LINC",34,NA,NA,NA
"LINC",35,203,227,1.998409296
"LINC",36,205,150,1.187395377
"LINC",37,208,202,0.915139389
"LINC",38,195,108,0.337605005
"LINC",39,192,141,0.362897702
"LINC",40,199.5,124,1.088803834
"LINC",41,196,227,0.71744617
"LINC",42,194,212,0.95480536
"LINC",43,203,164,0.889738154
"LINC",44,201,291,1.078540978
"LINC",45,NA,NA,NA
"LINC",46,199,122,0.591510748
"LINC",47,NA,NA,NA
"LINC",48,187,130,0.452363863
"LINC",49,NA,NA,NA
"LINC",50,NA,NA,NA
"LINC",52,194,106,0.306552046
"LINC",53,195,190,0.768553068
"LINC",54,203.5,127,0.8763250125
"LINC",55,191,145,0.6628442755
"LINC",56,193,166,1.060563563
"LINC",57,195,138,1.023489641
"LINC",58,194,197,0.441614126
"LINC",59,NA,NA,NA
"LINC",60,NA,NA,NA
"LINC",61,202,146,1.089259662
"LINC",62,196,90,0.466116555
"LINC",63,NA,NA,NA
"LINC",64,200,86,0.252680101
"LINC",65,195,228,0.973478215
"LINC",66,209,103,0.894346491
"LINC",67,203,187,0.731492699
"LINC",68,196,221,1.37754076
"LINC",69,201,230,1.566083377
"LINC",70,193,136,0.636988765
"LINC",71,218,186,0.9590305
"LINC",72,194,203,0.981711295
"LINC",73,205,68,0.195951744
"LINC",74,209,183.5,1.6791869315
"LINC",75,210,106,0.654956482
"LINC",76,208,92,0.331029144
"LINC",77,197,213,1.09292554
"LINC",78,196,130,0.654903502
"LINC",79,203.5,167,0.9731882485
"LINC",80,195,232,1.325038448
"LINC",81,199,57,0.114193775
"LINC",83,205,303,1.7609403445
"LINC",84,196,146,0.417571459
"LINC",85,196,268,0.755895584
"LINC",86,205,147,0.628192646
"LINC",87,197,107,0.381528523
"LINC",88,208,236,1.652422904
"LINC",89,201,127,0.605030093
"LINC",90,206.5,186,0.928097197
"LINC",91,215,165,1.8751483035
"LINC",93,203,262,1.677257704
"LINC",94,189,97,0.256729097
"LINC",95,208,278,1.0375917
"LINC",96,NA,NA,NA
"LINC",97,198,143,1.039171836
"LINC",98,NA,NA,NA
"LINC",99,NA,NA,NA
"LINC",100,203.5,180.5,0.9454513645
"LINC",101,195,133,0.528739331
"LINC",102,NA,NA,NA
"LINC",103,202,297,1.771499405
"LINC",104,197,110,0.288697967
"LINC",105,213,211,1.409461541
"LINC",106,194,303,1.548311181
"LINC",107,203,197,1.16681254
"LINC",108,196,94,0.213300238
"LINC",110,195,158,0.993850899
"LINC",111,187,219,0.967069227
"LINC",112,197,178,0.834981209
"LINC",113,201,133,0.920222882
"LINC",114,203,150,1.02972154
"LINC",115,222,145,0.790408187
"LINC",116,NA,NA,NA
"LINC",117,202,148,0.814626714
"LINC",118,195,126,0.833221094
"LINC",119,211,227,1.564262994
"LINC",120,201.5,90.5,0.2353272295
"LINC",122,194,113,0.346464126
"LINC",123,205.5,188.5,1.1499738915
"LINC",125,196.5,264.5,0.8514534095
"LINC",126,195,90,0.210596286
"LINC",127,NA,NA,NA
"LINC",128,195,77,0.337177938
"LINC",130,195.5,229.5,1.805145946
"LINC",131,195.5,193,1.086424937
"LINC",132,198,110,0.6163108935
"LINC",134,211,72,0.465059213
"LINC",135,197.5,184.5,1.0298465875
"LINC",136,NA,NA,NA
"LINC",137,206,48.5,0.2144400125
"LINC",138,202,107,0.450684359
"LINC",139,193,92,0.263180385
"LINC",141,195,79,0.270923729
"LINC",142,200,336,1.3792272
"LINC",143,208,137,1.399959291
"LINC",144,193,67,0.271748391
"LINC",145,201,121,0.445824512
"LINC",146,195,88,0.308836988
"LINC",147,196,208,0.815492986
"LINC",148,211,56,0.0303
"LINC",150,191,292,0.57551473
"LINC",151,199,121,0.665836216
"LINC",152,NA,NA,NA
"LINC",153,203.5,132,1.2723754715
"LINC",154,211,227,1.235234075
"LINC",155,NA,NA,NA
