"GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Trait","pr"
"GO:0005787","signal peptidase complex",10,1,0.24,"0.2126","SEC","CC"
"GO:0000228","nuclear chromosome",43,2,1.01,"0.2309","SEC","CC"
"GO:0043189","H4/H2A histone acetyltransferase complex",11,1,0.26,"0.2312","SEC","CC"
"GO:0005730","nucleolus",11,1,0.26,"0.2312","SEC","CC"
"GO:0000502","proteasome complex",56,2,1.32,"0.2313","SEC","CC"
"GO:0005840","ribosome",607,17,14.33,"0.2641","SEC","CC"
"GO:0043231","intracellular membrane-bounded organelle",1810,43,42.72,"0.2679","SEC","CC"
"GO:0005779","integral component of peroxisomal membrane",14,1,0.33,"0.2844","SEC","CC"
"GO:0005737","cytoplasm",1672,41,39.46,"0.2859","SEC","CC"
"GO:0005515","protein binding",5578,145,114.26,"0.00021","SEC","MF"
"GO:0004525","ribonuclease III activity",16,4,0.33,"0.00026","SEC","MF"
"GO:0015079","potassium ion transmembrane transporter activity",56,6,1.15,"0.00098","SEC","MF"
"GO:0010309","acireductone dioxygenase [iron(II)-requiring] activity",7,2,0.14,"0.00822","SEC","MF"
"GO:0004550","nucleoside diphosphate kinase activity",11,2,0.23,"0.02038","SEC","MF"
"GO:0015238","drug transmembrane transporter activity",115,6,2.36,"0.03120","SEC","MF"
"GO:0015297","antiporter activity",170,7,3.48,"0.03123","SEC","MF"
"GO:0080019","fatty-acyl-CoA reductase (alcohol-forming) activity",15,2,0.31,"0.03687","SEC","MF"
"GO:0071949","FAD binding",37,3,0.76,"0.03971","SEC","MF"
"GO:0005319","lipid transporter activity",22,2,0.45,"0.04051","SEC","MF"
"GO:0008430","selenium binding",2,1,0.04,"0.04055","SEC","MF"
"GO:0004000","adenosine deaminase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0003980","UDP-glucose:glycoprotein glucosyltransferase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004514","nicotinate-nucleotide diphosphorylase (carboxylating) activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0008531","riboflavin kinase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004816","asparagine-tRNA ligase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004817","cysteine-tRNA ligase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0008022","protein C-terminus binding",2,1,0.04,"0.04055","SEC","MF"
"GO:0004831","tyrosine-tRNA ligase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004315","3-oxoacyl-[acyl-carrier-protein] synthase activity",17,2,0.35,"0.04650","SEC","MF"
"GO:0033897","ribonuclease T2 activity",19,2,0.39,"0.05692","SEC","MF"
"GO:0016168","chlorophyll binding",3,1,0.06,"0.06020","SEC","MF"
"GO:0030151","molybdenum ion binding",20,2,0.41,"0.06241","SEC","MF"
"GO:0004176","ATP-dependent peptidase activity",20,2,0.41,"0.06241","SEC","MF"
"GO:0004386","helicase activity",246,8,5.04,"0.06420","SEC","MF"
"GO:0005089","Rho guanyl-nucleotide exchange factor activity",22,2,0.45,"0.07390","SEC","MF"
"GO:0019887","protein kinase regulator activity",23,2,0.47,"0.07937","SEC","MF"
"GO:0003714","transcription corepressor activity",4,1,0.08,"0.07946","SEC","MF"
"GO:0004643","phosphoribosylaminoimidazolecarboxamide formyltransferase activity",4,1,0.08,"0.07946","SEC","MF"
"GO:0004150","dihydroneopterin aldolase activity",4,1,0.08,"0.07946","SEC","MF"
"GO:0003937","IMP cyclohydrolase activity",4,1,0.08,"0.07946","SEC","MF"
"GO:0030983","mismatched DNA binding",24,2,0.49,"0.08599","SEC","MF"
"GO:0008171","O-methyltransferase activity",83,4,1.7,"0.09089","SEC","MF"
"GO:0046933","proton-transporting ATP synthase activity, rotational mechanism",25,2,0.51,"0.09224","SEC","MF"
"GO:0005524","ATP binding",3104,74,63.58,"0.09300","SEC","MF"
"GO:0003676","nucleic acid binding",3951,87,80.93,"0.09457","SEC","MF"
"GO:0004788","thiamine diphosphokinase activity",5,1,0.1,"0.09831","SEC","MF"
"GO:0004594","pantothenate kinase activity",5,1,0.1,"0.09831","SEC","MF"
"GO:0030975","thiamine binding",5,1,0.1,"0.09831","SEC","MF"
"GO:0008176","tRNA (guanine-N7-)-methyltransferase activity",5,1,0.1,"0.09831","SEC","MF"
"GO:0003774","motor activity",145,3,2.97,"0.10557","SEC","MF"
"GO:0016615","malate dehydrogenase activity",21,2,0.43,"0.11665","SEC","MF"
"GO:0003910","DNA ligase (ATP) activity",6,1,0.12,"0.11679","SEC","MF"
"GO:0005542","folic acid binding",6,1,0.12,"0.11679","SEC","MF"
"GO:0004003","ATP-dependent DNA helicase activity",29,2,0.59,"0.11846","SEC","MF"
"GO:0046961","proton-transporting ATPase activity, rotational mechanism",30,2,0.61,"0.12528","SEC","MF"
"GO:0003735","structural constituent of ribosome",616,17,12.62,"0.13347","SEC","MF"
"GO:0004807","triose-phosphate isomerase activity",7,1,0.14,"0.13488","SEC","MF"
"GO:0071805","potassium ion transmembrane transport",56,6,1.07,"0.00069","SEC","BP"
"GO:0006396","RNA processing",372,14,7.14,"0.00507","SEC","BP"
"GO:0006855","drug transmembrane transport",106,6,2.03,"0.01645","SEC","BP"
"GO:0006165","nucleoside diphosphate phosphorylation",114,4,2.19,"0.01801","SEC","BP"
"GO:0006228","UTP biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0006241","CTP biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0006183","GTP biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0007034","vacuolar transport",34,3,0.65,"0.02703","SEC","BP"
"GO:0006421","asparaginyl-tRNA aminoacylation",2,1,0.04,"0.03801","SEC","BP"
"GO:0006423","cysteinyl-tRNA aminoacylation",2,1,0.04,"0.03801","SEC","BP"
"GO:0009439","cyanate metabolic process",2,1,0.04,"0.03801","SEC","BP"
"GO:0007131","reciprocal meiotic recombination",2,1,0.04,"0.03801","SEC","BP"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",4,1,0.08,"0.07457","SEC","BP"
"GO:0042176","regulation of protein catabolic process",4,1,0.08,"0.07457","SEC","BP"
"GO:0071816","tail-anchored membrane protein insertion into ER membrane",4,1,0.08,"0.07457","SEC","BP"
"GO:0070072","vacuolar proton-transporting V-type ATPase complex assembly",4,1,0.08,"0.07457","SEC","BP"
"GO:0045132","meiotic chromosome segregation",4,1,0.08,"0.07457","SEC","BP"
"GO:0006298","mismatch repair",24,2,0.46,"0.07683","SEC","BP"
"GO:0006887","exocytosis",111,5,2.13,"0.09161","SEC","BP"
"GO:0016180","snRNA processing",5,1,0.1,"0.09233","SEC","BP"
"GO:0009229","thiamine diphosphate biosynthetic process",5,1,0.1,"0.09233","SEC","BP"
"GO:0006897","endocytosis",5,1,0.1,"0.09233","SEC","BP"
"GO:0031047","gene silencing by RNA",28,2,0.54,"0.10016","SEC","BP"
"GO:0031167","rRNA methylation",6,1,0.12,"0.10975","SEC","BP"
"GO:0034227","tRNA thio-modification",6,1,0.12,"0.10975","SEC","BP"
"GO:0006108","malate metabolic process",6,1,0.12,"0.10975","SEC","BP"
"GO:0009765","photosynthesis, light harvesting",32,2,0.61,"0.12515","SEC","BP"
"GO:0015700","arsenite transport",8,1,0.15,"0.14360","SEC","BP"
"GO:0006438","valyl-tRNA aminoacylation",8,1,0.15,"0.14360","SEC","BP"
"GO:0009435","NAD biosynthetic process",8,1,0.15,"0.14360","SEC","BP"
"GO:0000160","phosphorelay signal transduction system",108,4,2.07,"0.15396","SEC","BP"
"GO:0006621","protein retention in ER lumen",9,1,0.17,"0.16004","SEC","BP"
"GO:0030244","cellulose biosynthetic process",38,2,0.73,"0.16494","SEC","BP"
"GO:0060236","regulation of mitotic spindle organization",10,1,0.19,"0.17616","SEC","BP"
"GO:0032147","activation of protein kinase activity",10,1,0.19,"0.17616","SEC","BP"
"GO:0030150","protein import into mitochondrial matrix",10,1,0.19,"0.17616","SEC","BP"
"GO:0006625","protein targeting to peroxisome",11,1,0.21,"0.19198","SEC","BP"
"GO:0006164","purine nucleotide biosynthetic process",213,8,4.09,"0.20593","SEC","BP"
"GO:0006139","nucleobase-containing compound metabolic process",4065,81,78,"0.20629","SEC","BP"
"GO:0000045","autophagosome assembly",12,1,0.23,"0.20749","SEC","BP"
"GO:0006487","protein N-linked glycosylation",12,1,0.23,"0.20749","SEC","BP"
"GO:0009094","L-phenylalanine biosynthetic process",12,1,0.23,"0.20749","SEC","BP"
"GO:0009767","photosynthetic electron transport chain",12,1,0.23,"0.20749","SEC","BP"
"GO:0006807","nitrogen compound metabolic process",10043,186,192.7,"0.21943","SEC","BP"
"GO:0030163","protein catabolic process",224,7,4.3,"0.22168","SEC","BP"
"GO:0007094","mitotic spindle assembly checkpoint",13,1,0.25,"0.22270","SEC","BP"
"GO:0006260","DNA replication",128,4,2.46,"0.23153","SEC","BP"
"GO:0006412","translation",909,25,17.44,"0.23749","SEC","BP"
"GO:0007050","cell cycle arrest",14,1,0.27,"0.23763","SEC","BP"
"GO:0006665","sphingolipid metabolic process",14,1,0.27,"0.23763","SEC","BP"
"GO:0015937","coenzyme A biosynthetic process",14,1,0.27,"0.23763","SEC","BP"
"GO:0009725","response to hormone",177,19,3.4,"0.24904","SEC","BP"
"GO:0006869","lipid transport",35,2,0.67,"0.25191","SEC","BP"
"GO:0000387","spliceosomal snRNP assembly",15,1,0.29,"0.25227","SEC","BP"
"GO:0006633","fatty acid biosynthetic process",177,5,3.4,"0.25347","SEC","BP"
"GO:0006413","translational initiation",51,2,0.98,"0.25624","SEC","BP"
"GO:0015986","ATP synthesis coupled proton transport",52,2,1,"0.26337","SEC","BP"
"GO:0006465","signal peptide processing",16,1,0.31,"0.26662","SEC","BP"
"GO:0030001","metal ion transport",291,12,5.58,"0.26794","SEC","BP"
"GO:0006511","ubiquitin-dependent protein catabolic process",181,5,3.47,"0.26799","SEC","BP"
"GO:0006914","autophagy",29,2,0.56,"0.28022","SEC","BP"
"GO:0006400","tRNA modification",24,2,0.46,"0.29394","SEC","BP"
"GO:0010215","cellulose microfibril organization",18,1,0.35,"0.29452","SEC","BP"
"GO:0009231","riboflavin biosynthetic process",18,1,0.35,"0.29452","SEC","BP"
"GO:0048544","recognition of pollen",189,5,3.63,"0.29754","SEC","BP"
"GO:0000272","polysaccharide catabolic process",19,1,0.36,"0.30807","SEC","BP"
"GO:0009690","cytokinin metabolic process",19,1,0.36,"0.30807","SEC","BP"
"GO:0008272","sulfate transport",19,1,0.36,"0.30807","SEC","BP"
"GO:0006479","protein methylation",58,2,1.11,"0.32117","SEC","BP"
"GO:0015914","phospholipid transport",20,1,0.38,"0.32136","SEC","BP"
"GO:0006418","tRNA aminoacylation for protein translation",120,6,2.3,"0.33894","SEC","BP"
"GO:0016049","cell growth",22,1,0.42,"0.34717","SEC","BP"
"GO:0005985","sucrose metabolic process",22,1,0.42,"0.34717","SEC","BP"
"GO:0006904","vesicle docking involved in exocytosis",22,1,0.42,"0.34717","SEC","BP"
"GO:0046854","phosphatidylinositol phosphorylation",22,1,0.42,"0.34717","SEC","BP"
"GO:0030042","actin filament depolymerization",23,1,0.44,"0.35971","SEC","BP"
"GO:0006073","cellular glucan metabolic process",127,4,2.44,"0.36815","SEC","BP"
"GO:0032502","developmental process",182,2,3.49,"0.37360","SEC","BP"
"GO:0016042","lipid catabolic process",25,1,0.48,"0.38408","SEC","BP"
"GO:0006352","DNA-templated transcription, initiation",70,2,1.34,"0.38973","SEC","BP"
"GO:0015031","protein transport",348,6,6.68,"0.40495","SEC","BP"
"GO:0006760","folic acid-containing compound metabolic process",27,1,0.52,"0.40752","SEC","BP"
"GO:0006006","glucose metabolic process",27,1,0.52,"0.40752","SEC","BP"
"GO:0045454","cell redox homeostasis",224,5,4.3,"0.43002","SEC","BP"
"GO:0003333","amino acid transmembrane transport",77,2,1.48,"0.43645","SEC","BP"
"GO:0006644","phospholipid metabolic process",127,2,2.44,"0.44177","SEC","BP"
"GO:0008152","metabolic process",15566,279,298.67,"0.48382","SEC","BP"
