"GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Trait","pr"
"GO:0005664","nuclear origin of replication recognition complex",7,1,0.17,"0.1540","SEC","CC"
"GO:0004540","ribonuclease activity",58,7,1.19,"0.00018","SEC","MF"
"GO:0004525","ribonuclease III activity",16,4,0.33,"0.00026","SEC","MF"
"GO:0032296","double-stranded RNA-specific ribonuclease activity",16,4,0.33,"0.00026","SEC","MF"
"GO:0004521","endoribonuclease activity",45,6,0.92,"0.00030","SEC","MF"
"GO:0005515","protein binding",5578,145,114.26,"0.00091","SEC","MF"
"GO:0015079","potassium ion transmembrane transporter activity",56,6,1.15,"0.00098","SEC","MF"
"GO:0016891","endoribonuclease activity, producing 5'-phosphomonoesters",23,4,0.47,"0.00113","SEC","MF"
"GO:0016893","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",29,4,0.59,"0.00275","SEC","MF"
"GO:0004519","endonuclease activity",80,6,1.64,"0.00602","SEC","MF"
"GO:0010309","acireductone dioxygenase [iron(II)-requiring] activity",7,2,0.14,"0.00822","SEC","MF"
"GO:0140098","catalytic activity, acting on RNA",473,18,9.69,"0.00936","SEC","MF"
"GO:0004518","nuclease activity",208,10,4.26,"0.01101","SEC","MF"
"GO:0042623","ATPase activity, coupled",251,11,5.14,"0.01498","SEC","MF"
"GO:0004550","nucleoside diphosphate kinase activity",11,2,0.23,"0.02038","SEC","MF"
"GO:0015238","drug transmembrane transporter activity",115,6,2.36,"0.03120","SEC","MF"
"GO:0022804","active transmembrane transporter activity",392,14,8.03,"0.03249","SEC","MF"
"GO:0080019","fatty-acyl-CoA reductase (alcohol-forming) activity",15,2,0.31,"0.03687","SEC","MF"
"GO:0016887","ATPase activity",478,16,9.79,"0.03881","SEC","MF"
"GO:0071949","FAD binding",37,3,0.76,"0.03971","SEC","MF"
"GO:0004812","aminoacyl-tRNA ligase activity",122,6,2.5,"0.03987","SEC","MF"
"GO:0016875","ligase activity, forming carbon-oxygen bonds",122,6,2.5,"0.03987","SEC","MF"
"GO:0003980","UDP-glucose:glycoprotein glucosyltransferase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004000","adenosine deaminase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004514","nicotinate-nucleotide diphosphorylase (carboxylating) activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004816","asparagine-tRNA ligase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004817","cysteine-tRNA ligase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004831","tyrosine-tRNA ligase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0008022","protein C-terminus binding",2,1,0.04,"0.04055","SEC","MF"
"GO:0008430","selenium binding",2,1,0.04,"0.04055","SEC","MF"
"GO:0008531","riboflavin kinase activity",2,1,0.04,"0.04055","SEC","MF"
"GO:0004312","fatty acid synthase activity",17,2,0.35,"0.04650","SEC","MF"
"GO:0004315","3-oxoacyl-[acyl-carrier-protein] synthase activity",17,2,0.35,"0.04650","SEC","MF"
"GO:0016776","phosphotransferase activity, phosphate group as acceptor",17,2,0.35,"0.04650","SEC","MF"
"GO:0019842","vitamin binding",194,8,3.97,"0.04716","SEC","MF"
"GO:0005215","transporter activity",1496,40,30.64,"0.05244","SEC","MF"
"GO:0031406","carboxylic acid binding",42,3,0.86,"0.05449","SEC","MF"
"GO:0043177","organic acid binding",42,3,0.86,"0.05449","SEC","MF"
"GO:0016874","ligase activity",272,10,5.57,"0.05475","SEC","MF"
"GO:0033897","ribonuclease T2 activity",19,2,0.39,"0.05692","SEC","MF"
"GO:0015077","monovalent inorganic cation transmembrane transporter activity",238,9,4.88,"0.05749","SEC","MF"
"GO:0016462","pyrophosphatase activity",954,27,19.54,"0.05795","SEC","MF"
"GO:0046873","metal ion transmembrane transporter activity",135,6,2.77,"0.05970","SEC","MF"
"GO:0016168","chlorophyll binding",3,1,0.06,"0.06020","SEC","MF"
"GO:0015297","antiporter activity",170,7,3.48,"0.06136","SEC","MF"
"GO:0004176","ATP-dependent peptidase activity",20,2,0.41,"0.06241","SEC","MF"
"GO:0030151","molybdenum ion binding",20,2,0.41,"0.06241","SEC","MF"
"GO:0008144","drug binding",3305,80,67.7,"0.06365","SEC","MF"
"GO:0005488","binding",16357,353,335.05,"0.06508","SEC","MF"
"GO:0017111","nucleoside-triphosphatase activity",926,26,18.97,"0.06661","SEC","MF"
"GO:0016615","malate dehydrogenase activity",21,2,0.43,"0.06807","SEC","MF"
"GO:0015291","secondary active transmembrane transporter activity",211,8,4.32,"0.06984","SEC","MF"
"GO:0071804","cellular potassium ion transport",56,6,1.07,"0.00069","SEC","BP"
"GO:0071805","potassium ion transmembrane transport",56,6,1.07,"0.00069","SEC","BP"
"GO:0006813","potassium ion transport",62,6,1.19,"0.00119","SEC","BP"
"GO:0140013","meiotic nuclear division",6,2,0.12,"0.00523","SEC","BP"
"GO:1903046","meiotic cell cycle process",6,2,0.12,"0.00523","SEC","BP"
"GO:0051179","localization",2565,66,49.21,"0.00759","SEC","BP"
"GO:0051321","meiotic cell cycle",8,2,0.15,"0.00952","SEC","BP"
"GO:0051234","establishment of localization",2556,65,49.04,"0.01036","SEC","BP"
"GO:0030001","metal ion transport",291,12,5.58,"0.01085","SEC","BP"
"GO:0006396","RNA processing",372,14,7.14,"0.01316","SEC","BP"
"GO:0006810","transport",2541,64,48.75,"0.01334","SEC","BP"
"GO:0034660","ncRNA metabolic process",264,11,5.07,"0.01340","SEC","BP"
"GO:0006855","drug transmembrane transport",106,6,2.03,"0.01645","SEC","BP"
"GO:0015893","drug transport",106,6,2.03,"0.01645","SEC","BP"
"GO:0042493","response to drug",106,6,2.03,"0.01645","SEC","BP"
"GO:0006183","GTP biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0006228","UTP biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0006241","CTP biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0009208","pyrimidine ribonucleoside triphosphate metabolic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0009209","pyrimidine ribonucleoside triphosphate biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0009218","pyrimidine ribonucleotide metabolic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0009220","pyrimidine ribonucleotide biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0046036","CTP metabolic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0046051","UTP metabolic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0046132","pyrimidine ribonucleoside biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0046134","pyrimidine nucleoside biosynthetic process",11,2,0.21,"0.01801","SEC","BP"
"GO:0015672","monovalent inorganic cation transport",175,8,3.36,"0.01996","SEC","BP"
"GO:0098662","inorganic cation transmembrane transport",182,8,3.49,"0.02455","SEC","BP"
"GO:0006213","pyrimidine nucleoside metabolic process",13,2,0.25,"0.02491","SEC","BP"
"GO:0009147","pyrimidine nucleoside triphosphate metabolic process",13,2,0.25,"0.02491","SEC","BP"
"GO:0046039","GTP metabolic process",13,2,0.25,"0.02491","SEC","BP"
"GO:0046131","pyrimidine ribonucleoside metabolic process",13,2,0.25,"0.02491","SEC","BP"
"GO:0098660","inorganic ion transmembrane transport",184,8,3.53,"0.02598","SEC","BP"
"GO:0007034","vacuolar transport",34,3,0.65,"0.02703","SEC","BP"
"GO:0006418","tRNA aminoacylation for protein translation",120,6,2.3,"0.02828","SEC","BP"
"GO:0042451","purine nucleoside biosynthetic process",14,2,0.27,"0.02869","SEC","BP"
"GO:0046129","purine ribonucleoside biosynthetic process",14,2,0.27,"0.02869","SEC","BP"
"GO:1901070","guanosine-containing compound biosynthetic process",14,2,0.27,"0.02869","SEC","BP"
"GO:0043038","amino acid activation",124,6,2.38,"0.03248","SEC","BP"
"GO:0043039","tRNA aminoacylation",124,6,2.38,"0.03248","SEC","BP"
"GO:0000280","nuclear division",37,3,0.71,"0.03366","SEC","BP"
"GO:0050896","response to stimulus",1782,45,34.19,"0.03476","SEC","BP"
"GO:0006421","asparaginyl-tRNA aminoacylation",2,1,0.04,"0.03801","SEC","BP"
"GO:0006423","cysteinyl-tRNA aminoacylation",2,1,0.04,"0.03801","SEC","BP"
"GO:0007127","meiosis I",2,1,0.04,"0.03801","SEC","BP"
"GO:0007131","reciprocal meiotic recombination",2,1,0.04,"0.03801","SEC","BP"
"GO:0009439","cyanate metabolic process",2,1,0.04,"0.03801","SEC","BP"
"GO:0035825","homologous recombination",2,1,0.04,"0.03801","SEC","BP"
"GO:0061982","meiosis I cell cycle process",2,1,0.04,"0.03801","SEC","BP"
"GO:0006518","peptide metabolic process",941,26,18.06,"0.04037","SEC","BP"
"GO:0098655","cation transmembrane transport",201,8,3.86,"0.04060","SEC","BP"
"GO:0043603","cellular amide metabolic process",995,27,19.09,"0.04477","SEC","BP"
"GO:0006412","translation",909,25,17.44,"0.04584","SEC","BP"
"GO:0009163","nucleoside biosynthetic process",18,2,0.35,"0.04588","SEC","BP"
"GO:0042455","ribonucleoside biosynthetic process",18,2,0.35,"0.04588","SEC","BP"
"GO:1901659","glycosyl compound biosynthetic process",18,2,0.35,"0.04588","SEC","BP"
"GO:0006811","ion transport",740,21,14.2,"0.04874","SEC","BP"
"GO:0043043","peptide biosynthetic process",921,25,17.67,"0.05195","SEC","BP"
"GO:0034220","ion transmembrane transport",288,10,5.53,"0.05204","SEC","BP"
"GO:0022402","cell cycle process",106,5,2.03,"0.05349","SEC","BP"
"GO:0006164","purine nucleotide biosynthetic process",213,8,4.09,"0.05370","SEC","BP"
"GO:0055085","transmembrane transport",1286,33,24.67,"0.05451","SEC","BP"
"GO:1901566","organonitrogen compound biosynthetic process",1610,40,30.89,"0.05533","SEC","BP"
"GO:0009165","nucleotide biosynthetic process",253,9,4.85,"0.05600","SEC","BP"
"GO:1901293","nucleoside phosphate biosynthetic process",253,9,4.85,"0.05600","SEC","BP"
"GO:0006399","tRNA metabolic process",215,8,4.13,"0.05612","SEC","BP"
"GO:0006812","cation transport",498,15,9.56,"0.05809","SEC","BP"
"GO:0072522","purine-containing compound biosynthetic process",219,8,4.2,"0.06116","SEC","BP"
"GO:0072528","pyrimidine-containing compound biosynthetic process",47,3,0.9,"0.06117","SEC","BP"
"GO:0006887","exocytosis",111,5,2.13,"0.06274","SEC","BP"
"GO:0032940","secretion by cell",113,5,2.17,"0.06667","SEC","BP"
"GO:0046903","secretion",113,5,2.17,"0.06667","SEC","BP"
"GO:0033365","protein localization to organelle",82,4,1.57,"0.07291","SEC","BP"
"GO:0072527","pyrimidine-containing compound metabolic process",51,3,0.98,"0.07436","SEC","BP"
"GO:0043604","amide biosynthetic process",958,25,18.38,"0.07448","SEC","BP"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",4,1,0.08,"0.07457","SEC","BP"
"GO:0042176","regulation of protein catabolic process",4,1,0.08,"0.07457","SEC","BP"
"GO:0045048","protein insertion into ER membrane",4,1,0.08,"0.07457","SEC","BP"
"GO:0045132","meiotic chromosome segregation",4,1,0.08,"0.07457","SEC","BP"
"GO:0070070","proton-transporting V-type ATPase complex assembly",4,1,0.08,"0.07457","SEC","BP"
"GO:0070072","vacuolar proton-transporting V-type ATPase complex assembly",4,1,0.08,"0.07457","SEC","BP"
"GO:0071816","tail-anchored membrane protein insertion into ER membrane",4,1,0.08,"0.07457","SEC","BP"
